# stream A1
# bin=/home/ryo/work/goopg/goopg/tmp/goopg-armA
# target=tpch@tpch GOGC=100 GOMEMLIMIT=12GiB per-query-timeout=600s
# started=2026-07-29T19:24:16+09:00
Q1: OK elapsed=6.78s rows=4
Q2: OK elapsed=3.70s rows=455
Q3: OK elapsed=11.23s rows=11521
Q4: OK elapsed=33.69s rows=5
Q5: OK elapsed=53.98s rows=5
Q6: OK elapsed=3.79s rows=1
Q7: OK elapsed=34.43s rows=4
Q8: OK elapsed=52.67s rows=2
Q9: OK elapsed=202.52s rows=175
Q10: OK elapsed=24.41s rows=20501
Q11: OK elapsed=2.41s rows=819
Q12: OK elapsed=50.62s rows=2
Q13: OK elapsed=9.87s rows=35
Q14: OK elapsed=4.08s rows=1
Q15-CREATEVIEW: OK elapsed=0.00s rows=0
Q15a-VIEWBODY: OK elapsed=3.63s rows=10000
Q15b-MAIN: OK elapsed=33.26s rows=1
Q16: OK elapsed=1.10s rows=18213
Q17: OK elapsed=22.31s rows=1
Q18: OK elapsed=27.66s rows=10
Q19: OK elapsed=5.60s rows=1
Q20: OK elapsed=17.26s rows=76
Q21: OK elapsed=215.97s rows=405
Q22: OK elapsed=11.43s rows=7
# runner_rc=0
# stream_elapsed_s=912
# finished=2026-07-29T19:39:28+09:00
