# stream B1
# bin=/home/ryo/work/goopg/goopg/tmp/goopg-armB
# target=tpch@tpch GOGC=100 GOMEMLIMIT=12GiB per-query-timeout=600s
# started=2026-07-29T19:39:31+09:00
Q1: OK elapsed=7.23s rows=4
Q2: OK elapsed=3.51s rows=455
Q3: OK elapsed=11.86s rows=11521
Q4: OK elapsed=34.60s rows=5
Q5: OK elapsed=54.54s rows=5
Q6: OK elapsed=3.82s rows=1
Q7: OK elapsed=34.71s rows=4
Q8: OK elapsed=53.36s rows=2
Q9: OK elapsed=175.02s rows=175
Q10: OK elapsed=23.21s rows=20501
Q11: OK elapsed=2.45s rows=819
Q12: OK elapsed=50.27s rows=2
Q13: OK elapsed=9.96s rows=35
Q14: OK elapsed=4.20s rows=1
Q15-CREATEVIEW: OK elapsed=0.00s rows=0
Q15a-VIEWBODY: OK elapsed=3.69s rows=10000
Q15b-MAIN: OK elapsed=33.76s rows=1
Q16: OK elapsed=1.09s rows=18213
Q17: OK elapsed=22.25s rows=1
Q18: OK elapsed=28.48s rows=10
Q19: OK elapsed=5.67s rows=1
Q20: OK elapsed=17.16s rows=76
Q21: OK elapsed=215.30s rows=405
Q22: OK elapsed=13.06s rows=7
# runner_rc=0
# stream_elapsed_s=885
# finished=2026-07-29T19:54:16+09:00
