# arm: w2  (GOOPG_RELSIZE_FALLBACK='2'  analyze=1)
# started: 2026-07-30T21:20:03+09:00
# engine-id: b1640d67666163a39b5f51d978e15d6ca0ac232c c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=e3b0c44298fc
# engine-binary: on-disk=4b3e6cd9bfb4c15b (tmp/goopg-relsize-bin)
# per-query cap: 300s (external clamp 360s); restart per query; NO re-ANALYZE
# host: load1.85 1.71 1.02
query	secs	rows	status	peak_rss_kb	running_engine
Q9	52.67	175	ok	11429496	4b3e6cd9bfb4c15b
Q10	15.72	20501	ok	10269160	4b3e6cd9bfb4c15b
Q11	1.85	819	ok	3515652	4b3e6cd9bfb4c15b
Q12	17.61	2	ok	7183132	4b3e6cd9bfb4c15b
Q13	12.26	35	ok	4830168	4b3e6cd9bfb4c15b
Q14	5.40	1	ok	5363092	4b3e6cd9bfb4c15b
Q15	34.91	1	ok	5317500	4b3e6cd9bfb4c15b
Q16	1.72	18213	ok	2348416	4b3e6cd9bfb4c15b
# finished: 2026-07-30T21:22:58+09:00  wall=175s
# engine-id at end: b1640d67666163a39b5f51d978e15d6ca0ac232c c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=e3b0c44298fc
