# arm: w2  (GOOPG_RELSIZE_FALLBACK='2'  analyze=1)
# started: 2026-07-31T05:52:50+09:00
# engine-id: 7737cb8872a2af796a0774e8b9f4988bb3b5cc02 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=3518e9dc4cd1
# engine-binary: on-disk=1a1b032857d6a2f2 (tmp/goopg-m0125-0035-bin)
# per-query cap: 300s (external clamp 360s); restart per query; NO re-ANALYZE
# host: load0.84 3.41 3.72
query	secs	rows	status	peak_rss_kb	running_engine
Q1	5.03	4	ok	4171676	1a1b032857d6a2f2
Q2	2.59	455	ok	3795576	1a1b032857d6a2f2
Q3	12.86	11521	ok	10231040	1a1b032857d6a2f2
Q4	40.64	5	ok	6289236	1a1b032857d6a2f2
Q5	56.67	5	ok	9579604	1a1b032857d6a2f2
Q6	4.30	1	ok	4166392	1a1b032857d6a2f2
Q7	31.83	4	ok	10529276	1a1b032857d6a2f2
Q8	8.75	2	ok	5820516	1a1b032857d6a2f2
Q9	47.49	175	ok	11419140	1a1b032857d6a2f2
Q10	11.45	20501	ok	10945520	1a1b032857d6a2f2
Q11	1.91	819	ok	1583140	1a1b032857d6a2f2
Q12	16.28	2	ok	5227248	1a1b032857d6a2f2
Q13	11.76	35	ok	2994232	1a1b032857d6a2f2
Q14	4.42	1	ok	5537748	1a1b032857d6a2f2
Q15	32.97	1	ok	5318492	1a1b032857d6a2f2
Q16	1.35	18213	ok	3528476	1a1b032857d6a2f2
Q17	29.48	1	ok	4702212	1a1b032857d6a2f2
Q18	35.68	10	ok	10270244	1a1b032857d6a2f2
Q19	5.66	1	ok	5415184	1a1b032857d6a2f2
Q20	22.93	76	ok	3502400	1a1b032857d6a2f2
Q21	390		timeout	14438440	1a1b032857d6a2f2
Q22	11.41	7	ok	4743520	1a1b032857d6a2f2
# finished: 2026-07-31T06:08:38+09:00  wall=948s
# engine-id at end: 7737cb8872a2af796a0774e8b9f4988bb3b5cc02 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=3518e9dc4cd1
