# arm: w2  (GOOPG_RELSIZE_FALLBACK='2'  analyze=1)
# started: 2026-07-31T06:09:01+09:00
# engine-id: 7737cb8872a2af796a0774e8b9f4988bb3b5cc02 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=3518e9dc4cd1
# engine-binary: on-disk=7d0d61eb9b8311cb (tmp/goopg-m0125-0035a-bin)
# per-query cap: 300s (external clamp 360s); restart per query; NO re-ANALYZE
# host: load6.90 7.98 5.71
query	secs	rows	status	peak_rss_kb	running_engine
Q1	5.03	4	ok	4164444	7d0d61eb9b8311cb
Q2	2.76	455	ok	3804032	7d0d61eb9b8311cb
Q3	12.74	11521	ok	10234376	7d0d61eb9b8311cb
Q4	40.56	5	ok	6224612	7d0d61eb9b8311cb
Q5	56.55	5	ok	9546552	7d0d61eb9b8311cb
Q6	3.65	1	ok	5225156	7d0d61eb9b8311cb
Q7	31.60	4	ok	10576192	7d0d61eb9b8311cb
Q8	8.63	2	ok	5551332	7d0d61eb9b8311cb
Q9	46.36	175	ok	10571260	7d0d61eb9b8311cb
Q10	12.33	20501	ok	11006912	7d0d61eb9b8311cb
Q11	1.78	819	ok	3527856	7d0d61eb9b8311cb
Q12	14.89	2	ok	6098208	7d0d61eb9b8311cb
Q13	11.71	35	ok	3845044	7d0d61eb9b8311cb
Q14	4.00	1	ok	4734776	7d0d61eb9b8311cb
Q15	34.18	1	ok	5317012	7d0d61eb9b8311cb
Q16	1.43	18213	ok	1602268	7d0d61eb9b8311cb
Q17	24.71	1	ok	5615972	7d0d61eb9b8311cb
Q18	35.61	10	ok	11278364	7d0d61eb9b8311cb
Q19	5.63	1	ok	5446360	7d0d61eb9b8311cb
Q20	22.94	76	ok	5684204	7d0d61eb9b8311cb
Q21	386		timeout	14460924	7d0d61eb9b8311cb
Q22	12.01	7	ok	5441212	7d0d61eb9b8311cb
# finished: 2026-07-31T06:24:40+09:00  wall=939s
# engine-id at end: 7737cb8872a2af796a0774e8b9f4988bb3b5cc02 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=3518e9dc4cd1
