# arm: c2  (GOOPG_RELSIZE_FALLBACK='2'  analyze=0)
# started: 2026-07-31T11:52:43+09:00
# engine-id: 7c01f65088bd9544158c61d3b1ada639124f0da8 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=aa72967d38e5
# engine-binary: on-disk=0a975d8cfa670e93 (tmp/goopg-relsize-bin)
# per-query cap: 600s (external clamp 660s); restart per query; NO re-ANALYZE
# host: load0.24 0.40 0.43
query	secs	rows	status	peak_rss_kb	running_engine
Q1	6.47	4	ok	4179392	0a975d8cfa670e93
Q2	3.26	455	ok	1892800	0a975d8cfa670e93
Q3	12.96	11521	ok	11096100	0a975d8cfa670e93
Q4	44.23	5	ok	8150624	0a975d8cfa670e93
Q5	61.58	5	ok	9543532	0a975d8cfa670e93
Q6	4.53	1	ok	4160828	0a975d8cfa670e93
Q7	34.80	4	ok	10576540	0a975d8cfa670e93
Q8	9.59	2	ok	6024276	0a975d8cfa670e93
Q9	52.10	175	ok	11438708	0a975d8cfa670e93
Q10	12.49	20501	ok	10978580	0a975d8cfa670e93
Q11	1.89	819	ok	3527580	0a975d8cfa670e93
Q12	16.52	2	ok	6310184	0a975d8cfa670e93
Q13	12.90	35	ok	5701372	0a975d8cfa670e93
Q14	5.07	1	ok	4368844	0a975d8cfa670e93
Q15	36.19	1	ok	4254268	0a975d8cfa670e93
Q16	1.43	18213	ok	3515712	0a975d8cfa670e93
Q17	29.81	1	ok	4587836	0a975d8cfa670e93
Q18	37.94	10	ok	10285800	0a975d8cfa670e93
Q19	6.82	1	ok	4379768	0a975d8cfa670e93
Q20	24.38	76	ok	5160044	0a975d8cfa670e93
Q21	660		timeout	14831600	0a975d8cfa670e93
Q22	12.64	7	ok	5127788	0a975d8cfa670e93
# finished: 2026-07-31T12:12:50+09:00  wall=1207s
# engine-id at end: 7c01f65088bd9544158c61d3b1ada639124f0da8 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=aa72967d38e5
