DPTRACE problem nrels=6 rels=part,supplier,lineitem,partsupp,orders,nation
DPTRACE pair phase=1 lev=6 created=1 pair={lineitem+orders+part+partsupp+supplier} | {nation} outer={lineitem+orders+part+partsupp+supplier} inner={nation}
DPTRACE pair phase=1 lev=6 created=0 pair={lineitem+nation+part+partsupp+supplier} | {orders} outer={lineitem+nation+part+partsupp+supplier} inner={orders}
DPTRACE pair phase=1 lev=6 created=0 pair={lineitem+nation+orders+part+supplier} | {partsupp} outer={lineitem+nation+orders+part+supplier} inner={partsupp}
DPTRACE pair phase=1 lev=6 created=0 pair={lineitem+nation+orders+partsupp+supplier} | {part} outer={lineitem+nation+orders+partsupp+supplier} inner={part}
DPTRACE pair phase=2 lev=6 created=0 pair={lineitem+nation+orders+supplier} | {part+partsupp} outer={part+partsupp} inner={lineitem+nation+orders+supplier}
DPTRACE pair phase=2 lev=6 created=0 pair={lineitem+orders+part+partsupp} | {nation+supplier} outer={nation+supplier} inner={lineitem+orders+part+partsupp}
DPTRACE pair phase=2 lev=6 created=0 pair={lineitem+orders} | {nation+part+partsupp+supplier} outer={lineitem+orders} inner={nation+part+partsupp+supplier}
DPTRACE pair phase=2 lev=6 created=0 pair={lineitem+orders+part} | {nation+partsupp+supplier} outer={lineitem+orders+part} inner={nation+partsupp+supplier}
DPTRACE cost lev=2 rel={lineitem+part} rows=303115 npaths=3 cheapest=hash reqouter={} total=222311.727875 second=merge secondtotal=1.2549225544004946e+06
DPTRACE cost lev=2 rel={part+partsupp} rows=39901 npaths=4 cheapest=hash reqouter={} total=36235.161125 second=merge secondtotal=49429.71591891931
DPTRACE cost lev=2 rel={lineitem+supplier} rows=6.001688e+06 npaths=3 cheapest=hash reqouter={} total=279386.08999999997 second=merge secondtotal=1.7627895996823818e+06
DPTRACE cost lev=2 rel={partsupp+supplier} rows=800000 npaths=3 cheapest=hash reqouter={} total=38369 second=merge secondtotal=175405.31189774725
DPTRACE cost lev=2 rel={nation+supplier} rows=10000 npaths=3 cheapest=hash reqouter={} total=467.0625 second=merge secondtotal=1144.3411010011941
DPTRACE cost lev=2 rel={lineitem+partsupp} rows=2376 npaths=5 cheapest=hash reqouter={} total=756855.6680000001 second=merge secondtotal=1.3532105034220782e+06
DPTRACE cost lev=2 rel={lineitem+orders} rows=6.001688e+06 npaths=2 cheapest=merge reqouter={} total=454477.769532284 second=merge secondtotal=454477.769532284
DPTRACE cost lev=3 rel={lineitem+part+supplier} rows=303115 npaths=5 cheapest=hash reqouter={} total=226932.559125 second=merge secondtotal=255082.57450928015
DPTRACE cost lev=3 rel={lineitem+part+partsupp} rows=120 npaths=7 cheapest=nli reqouter={} total=108716.3487623105 second=merge secondtotal=308054.4791265402
DPTRACE cost lev=3 rel={lineitem+orders+part} rows=303115 npaths=4 cheapest=merge reqouter={} total=338804.5949284797 second=merge secondtotal=541298.2029538198
