     channel     |              id              |   sales   | returns  |  profit   
-----------------+------------------------------+-----------+----------+-----------
 catalog channel | catalog_pageAAAAAAAAAAABAAAA | 113661.48 |     0.00 | -97627.56
 catalog channel | catalog_pageAAAAAAAAABABAAAA |  73688.72 |     0.00 |  -7387.64
 catalog channel | catalog_pageAAAAAAAAACABAAAA | 154943.04 |  2921.00 |  -1988.40
 catalog channel | catalog_pageAAAAAAAAADABAAAA | 104570.88 |     0.00 | -37204.20
 catalog channel | catalog_pageAAAAAAAAADCBAAAA |  40199.72 |     0.00 |  16498.08
 catalog channel | catalog_pageAAAAAAAAAEABAAAA |  48962.96 |  8030.88 | -40519.16
 catalog channel | catalog_pageAAAAAAAAAECBAAAA | 117096.72 |     0.00 | -30827.92
 catalog channel | catalog_pageAAAAAAAAAEPAAAAA |      0.00 |    55.56 |   -391.20
 catalog channel | catalog_pageAAAAAAAAAFABAAAA |  64740.84 |    41.44 |  22763.80
 catalog channel | catalog_pageAAAAAAAAAFCBAAAA |  78643.88 |     0.00 | -20800.36
 catalog channel | catalog_pageAAAAAAAAAGABAAAA | 190118.68 |     0.00 |  -5555.24
 catalog channel | catalog_pageAAAAAAAAAGCBAAAA |  56815.56 |     0.00 | -33490.28
 catalog channel | catalog_pageAAAAAAAAAHABAAAA |  66655.52 |     0.00 | -39027.32
 catalog channel | catalog_pageAAAAAAAAAHCBAAAA |  86261.36 |     0.00 |  24343.36
 catalog channel | catalog_pageAAAAAAAAAHPAAAAA |      0.00 |   394.56 |   -233.96
 catalog channel | catalog_pageAAAAAAAAAICBAAAA | 115785.40 |     0.00 | -59128.64
 catalog channel | catalog_pageAAAAAAAAAIPAAAAA |      0.00 |  1522.40 |  -1241.72
 catalog channel | catalog_pageAAAAAAAAAJCBAAAA |  60377.80 |     0.00 |  -2515.64
 catalog channel | catalog_pageAAAAAAAAAJPAAAAA |      0.00 | 43769.84 | -23730.72
