     channel     | id |    sales     |  returns   |    profit    
-----------------+----+--------------+------------+--------------
 catalog channel |  1 |  28851783.70 |  552577.10 |  -3074530.25
 catalog channel |  2 |  37802862.35 |  552577.10 |  -4483426.95
 catalog channel |  5 |  33431359.45 |  552577.10 |  -3503581.10
 catalog channel |    |     49568.00 |  552577.10 |   -342580.90
 catalog channel |    | 100135573.50 | 2210308.40 | -11404119.20
 store channel   |  1 |   5336658.29 |  118079.30 |  -2306987.13
 store channel   |  2 |   4118211.63 |  137139.13 |  -1823113.84
 store channel   |  4 |   4265440.70 |  107591.78 |  -2004782.49
 store channel   |  7 |   4658823.05 |  108033.59 |  -2187404.82
 store channel   |  8 |   4910684.54 |   77294.22 |  -2101987.94
 store channel   | 10 |   5082639.31 |  165642.34 |  -2271608.55
 store channel   |    |  28372457.52 |  713780.36 | -12695884.77
 web channel     |  1 |    254812.62 |    9250.49 |    -99149.72
 web channel     |  2 |    362846.64 |   24000.02 |    -64643.21
 web channel     |  5 |    323818.79 |    6301.89 |    -61798.51
 web channel     |  7 |    340870.45 |    9176.66 |    -32421.48
 web channel     |  8 |    364136.57 |     982.66 |    -36947.63
 web channel     | 11 |    327603.63 |     739.87 |     18215.58
 web channel     | 13 |    410024.83 |    4644.89 |     -8659.39
 web channel     | 14 |    329167.14 |   27756.62 |    -32273.18
 web channel     | 17 |    320820.45 |   11495.69 |    -57081.98
 web channel     | 19 |    327556.73 |   10785.28 |    -18740.27
 web channel     | 20 |    382082.26 |    8426.67 |    -24109.05
 web channel     | 23 |    332762.54 |     902.77 |    -32278.44
 web channel     | 25 |    352313.08 |   20531.26 |    -42955.39
 web channel     | 26 |    322748.19 |    4181.46 |     -8551.58
 web channel     | 29 |    333157.94 |    3181.36 |    -65868.02
 web channel     | 31 |    310000.74 |    4457.12 |    -45081.53
 web channel     | 32 |    247007.41 |    5597.33 |    -54897.96
 web channel     | 35 |    347321.28 |   12863.28 |    -25252.63
 web channel     | 37 |    287317.50 |     983.90 |    -21926.65
 web channel     | 38 |    293283.27 |   27781.40 |    -48076.56
 web channel     | 41 |    376560.53 |    7567.62 |    -37473.80
 web channel     | 43 |    264846.41 |    3177.01 |    -65779.41
 web channel     | 44 |    283987.70 |    8466.48 |    -89620.42
 web channel     | 47 |    343670.92 |    2105.50 |    -46765.27
 web channel     | 49 |    343642.73 |   10900.59 |    -22200.74
 web channel     | 50 |    260162.25 |    2116.74 |    -32163.17
 web channel     | 53 |    340056.53 |          0 |    -40082.62
 web channel     | 55 |    363073.52 |   13610.33 |    -24195.05
 web channel     | 56 |    325375.06 |    8959.04 |    -59111.88
 web channel     | 59 |    296447.43 |    8996.92 |    -51977.21
 web channel     |    |   9767475.14 |  259940.85 |  -1231867.17
                 |    | 138275506.16 | 3184029.61 | -25331871.14
(44 rows)

