 d_year | brand_id |         brand         | ext_price 
--------+----------+-----------------------+-----------
   2000 |  8003010 | exportinameless #10   |  30325.21
   2000 |  2004002 | edu packimporto #2    |  25839.49
   2000 |  1003001 | exportiamalg #1       |  25837.92
   2000 |  1003002 | exportiamalg #2       |  25366.47
   2000 |  5001002 | amalgscholar #2       |  24049.01
   2000 |  4003001 | exportiedu pack #1    |  22587.25
   2000 |  5004002 | edu packscholar #2    |  21946.71
   2000 |  2002001 | importoimporto #1     |  20565.71
   2000 |  2003002 | exportiimporto #2     |  19177.03
   2000 |  1001002 | amalgamalg #2         |  17150.76
   2000 |  1004002 | edu packamalg #2      |  16618.92
   2000 |  3001002 | amalgexporti #2       |  16490.23
   2000 |  2001002 | amalgimporto #2       |  15836.42
   2000 |  1002002 | importoamalg #2       |  15835.08
   2000 |  1004001 | edu packamalg #1      |  15469.74
   2000 |  6008002 | namelesscorp #2       |  15122.91
   2000 |  2002002 | importoimporto #2     |  13878.69
   2000 |  9016003 | corpunivamalg #3      |  13750.18
   2000 |  9008002 | namelessmaxi #2       |  12705.62
   2000 |  4003001 | exportischolar #2     |  12556.55
   2000 |  3001001 | maxibrand #8          |  11888.47
   2000 |  7015007 | scholarnameless #7    |  11666.16
   2000 | 10012004 | importoamalgamalg #4  |  11215.75
   2000 |  3003001 | exportiexporti #1     |  10835.48
   2000 |  3002002 | importoexporti #2     |  10657.53
   2000 |  1002001 | importounivamalg #1   |  10504.33
   2000 |  6005001 | scholarcorp #1        |   9998.06
   2000 |  7012001 | amalgamalgamalg #2    |   9930.91
   2000 |  4001002 | amalgedu pack #2      |   9853.63
   2000 |  3002001 | importoexporti #1     |   9640.03
   2000 |  8004003 | edu packnameless #3   |   8512.16
   2000 |  8003007 | edu packnameless #8   |   8168.78
   2000 | 10003016 | exportiunivamalg #16  |   7851.33
   2000 |  4004001 | edu packedu pack #1   |   7819.36
   2000 |  2001001 | importoimporto #2     |   7646.10
   2000 |  7010005 | corpunivamalg #6      |   7471.13
   2000 | 10004005 | importounivamalg #6   |   7449.95
   2000 |  4001001 | amalgedu pack #1      |   7206.41
   2000 |  1001001 | amalgamalg #1         |   7000.07
   2000 |  3001001 | amalgexporti #1       |   6952.41
   2000 |  7016001 | corpnameless #1       |   6900.87
   2000 |  5001001 | edu packexporti #2    |   6781.24
   2000 |  3004002 | edu packexporti #2    |   6704.75
   2000 |  7007004 | brandbrand #4         |   6228.38
   2000 | 10004012 | edu packunivamalg #12 |   6056.16
   2000 |  7009009 | exportibrand #10      |   5947.19
   2000 | 10015013 | scholaramalgamalg #13 |   5934.06
   2000 | 10004004 | edu packunivamalg #4  |   5597.50
   2000 |  3003002 | exportiexporti #2     |   5464.27
   2000 |  2003001 | exportiimporto #1     |   5263.83
   2000 |  5001001 | brandunivamalg #11    |   5261.34
   2000 | 10002012 | importounivamalg #12  |   4762.19
   2000 |  3004001 | edu packscholar #2    |   4743.42
   2000 |  5003002 | exportischolar #2     |   4719.83
   2000 |  7008004 | namelessbrand #4      |   4501.90
   2000 |  1002001 | importoamalg #1       |   4407.80
   2000 |  6011008 | amalgbrand #8         |   4280.48
   2000 |  7012010 | importonameless #10   |   4170.22
   2000 |  2004001 | edu packunivamalg #8  |   4119.09
   2000 |  3003001 | exportiedu pack #2    |   3927.66
   2000 |  9015011 | exportiamalg #2       |   3683.70
   2000 |  7016007 | corpnameless #7       |   3460.86
   2000 |  7010003 | univnameless #3       |   3379.50
   2000 |  8010004 | univmaxi #4           |   3302.41
   2000 |  6010005 | univbrand #5          |   3288.87
   2000 |  9015009 | scholarunivamalg #9   |   3257.67
   2000 |  4002001 | scholarmaxi #6        |   3162.74
   2000 |  5002002 | importoscholar #2     |   3135.05
   2000 |  9013009 | exportiunivamalg #9   |   3096.70
   2000 |  9012008 | importounivamalg #8   |   3083.12
   2000 |  6005005 | edu packnameless #8   |   2852.85
   2000 |  8005009 | corpnameless #10      |   2797.12
   2000 |  7010009 | univnameless #9       |   2725.58
   2000 |  7014001 | edu packnameless #1   |   2717.64
   2000 |  4004002 | edu packedu pack #2   |   2701.92
   2000 | 10009015 | maxiunivamalg #15     |   2694.51
   2000 |  7010010 | univnameless #10      |   2610.60
   2000 |  6004002 | edu packcorp #2       |   2569.34
   2000 |  9014006 | edu packunivamalg #6  |   2525.97
   2000 |  5003001 | exportischolar #1     |   2438.83
   2000 |  7013007 | exportinameless #7    |   2155.43
   2000 |  4002001 | importoedu pack #1    |   2110.32
   2000 |  7010004 | univnameless #4       |   1958.76
   2000 |  7009004 | maxibrand #4          |   1940.12
   2000 |  7009010 | maxibrand #10         |   1809.48
   2000 |  8002009 | importonameless #9    |   1791.66
   2000 |  5001001 | exportinameless #8    |   1531.29
   2000 |  7006007 | edu packamalg #2      |   1510.32
   2000 |  7016009 | univnameless #10      |   1066.45
   2000 |  7001005 | amalgbrand #5         |    960.70
   2000 |  6003008 | exporticorp #8        |    873.79
   2000 |  8005008 | scholarnameless #8    |    849.71
   2000 |  6015006 | scholarbrand #6       |    729.27
   2000 |  6002004 | importocorp #4        |    727.20
   2000 |  8010003 | namelessunivamalg #5  |    708.48
   2000 |  4004001 | maxinameless #8       |    696.64
   2000 |  7008009 | namelessbrand #9      |    579.15
   2000 | 10010013 | univamalgamalg #13    |    476.70
   2000 |  7016006 | corpnameless #6       |    422.24
   2000 | 10014001 | maxibrand #4          |    395.76
(100 rows)

