     channel     |              id              |   sales    | returns  |   profit   
-----------------+------------------------------+------------+----------+------------
 catalog channel | catalog_pageAAAAAAAAAAABAAAA |  859434.30 |     0.00 | -239888.85
 catalog channel | catalog_pageAAAAAAAAABABAAAA |  378837.00 |     0.00 | -147444.75
 catalog channel | catalog_pageAAAAAAAAACABAAAA |  506630.40 |  3651.25 |   35282.85
 catalog channel | catalog_pageAAAAAAAAACIAAAAA |       0.00 |  1580.00 |   -2439.65
 catalog channel | catalog_pageAAAAAAAAADABAAAA |  450309.95 |     0.00 |  -55777.95
 catalog channel | catalog_pageAAAAAAAAADCBAAAA |  471787.25 |     0.00 |   11582.70
 catalog channel | catalog_pageAAAAAAAAAEABAAAA |  326326.05 | 10038.60 | -186447.80
 catalog channel | catalog_pageAAAAAAAAAECBAAAA |  502204.75 |     0.00 |   -2416.90
 catalog channel | catalog_pageAAAAAAAAAEMAAAAA |       0.00 |  9352.75 |  -14412.70
 catalog channel | catalog_pageAAAAAAAAAEPAAAAA |       0.00 |  3727.85 |  -11911.10
 catalog channel | catalog_pageAAAAAAAAAFABAAAA |  378094.75 |    51.80 |  -67071.85
 catalog channel | catalog_pageAAAAAAAAAFCBAAAA |  313713.90 |     0.00 | -101173.85
 catalog channel | catalog_pageAAAAAAAAAFPAAAAA |       0.00 |  3230.70 |    -981.40
 catalog channel | catalog_pageAAAAAAAAAGABAAAA |  492752.30 |     0.00 |  -41293.20
 catalog channel | catalog_pageAAAAAAAAAGCBAAAA |  372886.70 |     0.00 |  -78988.75
 catalog channel | catalog_pageAAAAAAAAAGPAAAAA |       0.00 | 28614.55 |  -20362.60
 catalog channel | catalog_pageAAAAAAAAAHABAAAA |  387163.10 |     0.00 |  -37431.50
 catalog channel | catalog_pageAAAAAAAAAHCBAAAA |  386033.05 |     0.00 |   45767.80
 catalog channel | catalog_pageAAAAAAAAAHMAAAAA |       0.00 |  1297.10 |    -565.80
 catalog channel | catalog_pageAAAAAAAAAHPAAAAA |       0.00 |   493.20 |    -292.45
 catalog channel | catalog_pageAAAAAAAAAIBBAAAA |       0.00 |  9808.90 |  -10337.15
 catalog channel | catalog_pageAAAAAAAAAICBAAAA |  314732.70 |     0.00 |  -85462.40
 catalog channel | catalog_pageAAAAAAAAAIMAAAAA |       0.00 | 14217.75 |  -17973.15
 catalog channel | catalog_pageAAAAAAAAAIPAAAAA |       0.00 | 31991.10 |  -23424.15
 catalog channel | catalog_pageAAAAAAAAAJABAAAA |       0.00 |   297.00 |    -545.10
 catalog channel | catalog_pageAAAAAAAAAJCBAAAA |  359850.10 |     0.00 |   15575.05
 catalog channel | catalog_pageAAAAAAAAAJPAAAAA |       0.00 | 65736.00 |  -53144.15
 catalog channel | catalog_pageAAAAAAAAAKPAAAAA |  898560.55 |     0.00 | -166423.40
 catalog channel | catalog_pageAAAAAAAAALPAAAAA |  656672.85 |  1337.35 | -176187.60
 catalog channel | catalog_pageAAAAAAAAAMBBAAAA |       0.00 | 23584.00 |   -9160.95
 catalog channel | catalog_pageAAAAAAAAAMPAAAAA | 1285172.35 |  7887.10 |   18610.25
 catalog channel | catalog_pageAAAAAAAAANPAAAAA | 1045637.40 |     0.00 |   30088.40
 catalog channel | catalog_pageAAAAAAAAAOBBAAAA |       0.00 |  1763.25 |   -1386.15
 catalog channel | catalog_pageAAAAAAAAAOIAAAAA |       0.00 |  3608.50 |   -4137.75
 catalog channel | catalog_pageAAAAAAAAAOPAAAAA |  587859.00 |     0.00 | -116952.50
 catalog channel | catalog_pageAAAAAAAAAPABAAAA |       0.00 |  2847.00 |   -5802.70
 catalog channel | catalog_pageAAAAAAAAAPPAAAAA | 1211362.55 |  4119.95 |  -85388.75
 catalog channel | catalog_pageAAAAAAAABAABAAAA |  916884.45 |  3293.00 |  -77667.70
 catalog channel | catalog_pageAAAAAAAABAJAAAAA |       0.00 |  2213.75 |  -13227.70
 catalog channel | catalog_pageAAAAAAAABBABAAAA |  448780.40 |     0.00 | -132712.85
 catalog channel | catalog_pageAAAAAAAABCABAAAA |  381803.20 | 30004.00 | -126318.10
 catalog channel | catalog_pageAAAAAAAABCIAAAAA |       0.00 |   181.60 |    -368.05
 catalog channel | catalog_pageAAAAAAAABDABAAAA |  491617.00 |  4964.55 |  -77160.25
 catalog channel | catalog_pageAAAAAAAABDCBAAAA |  380038.75 |     0.00 |  -49429.50
 catalog channel | catalog_pageAAAAAAAABDPAAAAA |       0.00 | 31239.30 |  -15152.50
 catalog channel | catalog_pageAAAAAAAABEABAAAA |  280415.05 |  6964.50 | -181230.05
 catalog channel | catalog_pageAAAAAAAABECBAAAA |  430900.00 |    52.80 | -145604.90
 catalog channel | catalog_pageAAAAAAAABEIAAAAA |       0.00 | 11583.00 |   -7185.05
 catalog channel | catalog_pageAAAAAAAABEPAAAAA |       0.00 | 28308.55 |   -5583.50
