path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=26068.067420670646 total=26069.700668128273 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23760.818234425486
path producer=join.hash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=5041.1575 total=26052.550445379944 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23755.523070379943
partial producer=join.hash.partial.parallelhash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=3663.295 total=24660.54119537994 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=22741.62307037994
partial producer=join.hash.partial relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=4041.1575000000003 total=25038.403695379944 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=22741.62307037994
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2744.495 total=26807.485570379944 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23755.523070379943
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.7383325265 total=89251.98942962103 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=86200.02692962102
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.7383325265 total=89251.98942962103 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=86200.02692962102
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=75249.39185026278 total=79114.03955194222 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=76062.07705194221
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31265.892019194725 total=48829.91277149808 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=45777.95027149808
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.276627144536 total=60246.95351638129 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=57194.99101638129
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.276627144536 total=60246.95351638129 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=57194.99101638129
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31265.892019194725 total=48829.91277149808 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=45777.95027149808
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1743.35 total=42823.77368644013 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=39771.81118644013
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=75249.39185026278 total=79114.03955194222 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=76062.07705194221
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=23964.709950981465 total=27018.85245098146 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23966.889950981462
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2743.35 total=27053.03878130344 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=24001.076281303438
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2744.745 total=23818.705050450062 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23755.523070379943
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2744.745 total=23822.163929690854 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23755.523070379943
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86263.20890969114 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=86200.02692962102
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86266.66778893193 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=86200.02692962102
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86263.20890969114 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=86200.02692962102
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86266.66778893193 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=86200.02692962102
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=75249.64185026278 total=76125.25903201233 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=76062.07705194221
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=75249.64185026278 total=76128.71791125312 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=76062.07705194221
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31266.142019194725 total=45841.1322515682 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=45777.95027149808
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31266.142019194725 total=45844.591130808985 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=45777.95027149808
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=57258.17299645141 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=57194.99101638129
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=57261.6318756922 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=57194.99101638129
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=57258.17299645141 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=57194.99101638129
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=57261.6318756922 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=57194.99101638129
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31266.142019194725 total=45841.1322515682 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=45777.95027149808
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31266.142019194725 total=45844.591130808985 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=45777.95027149808
