      i_product_name      |       i_brand       |    i_class     | i_category  |         qoh          
--------------------------+---------------------+----------------+-------------+----------------------
 eingableableationought   | amalgimporto #1     | accessories    | Men         | 444.7142857142857143
 eingableableationought   | amalgimporto #1     | accessories    |             | 444.7142857142857143
 eingableableationought   | amalgimporto #1     |                |             | 444.7142857142857143
 eingableableationought   |                     |                |             | 444.7142857142857143
 ableationprieing         | amalgamalg #1       | dresses        | Women       | 445.9958333333333333
 ableationprieing         | amalgamalg #1       | dresses        |             | 445.9958333333333333
 ableationprieing         | amalgamalg #1       |                |             | 445.9958333333333333
 ableationprieing         |                     |                |             | 445.9958333333333333
 eseablecallyationought   | importoamalg #1     | fragrances     | Women       | 447.7698412698412698
 eseablecallyationought   | importoamalg #1     | fragrances     |             | 447.7698412698412698
 eseablecallyationought   | importoamalg #1     |                |             | 447.7698412698412698
 eseablecallyationought   |                     |                |             | 447.7698412698412698
 callyationn stbarought   | importoscholar #1   | country        | Music       | 449.4677419354838710
 callyationn stbarought   | importoscholar #1   | country        |             | 449.4677419354838710
 callyationn stbarought   | importoscholar #1   |                |             | 449.4677419354838710
 callyationn stbarought   |                     |                |             | 449.4677419354838710
 ableprin stantiought     | amalgimporto #1     | accessories    | Men         | 450.2244897959183673
 ableprin stantiought     | amalgimporto #1     | accessories    |             | 450.2244897959183673
 ableprin stantiought     | amalgimporto #1     |                |             | 450.2244897959183673
 ableprin stantiought     |                     |                |             | 450.2244897959183673
 eseeseablecallyought     | edu packimporto #1  | sports-apparel | Men         | 450.2727272727272727
 eseeseablecallyought     | edu packimporto #1  | sports-apparel |             | 450.2727272727272727
 eseeseablecallyought     | edu packimporto #1  |                |             | 450.2727272727272727
 eseeseablecallyought     |                     |                |             | 450.2727272727272727
 callyoughtn stcallyought | exportiamalg #1     | maternity      | Women       | 451.8744939271255061
 callyoughtn stcallyought | exportiamalg #1     | maternity      |             | 451.8744939271255061
 callyoughtn stcallyought | exportiamalg #1     |                |             | 451.8744939271255061
 callyoughtn stcallyought |                     |                |             | 451.8744939271255061
 barablen stableought     | edu packimporto #1  | sports-apparel | Men         | 451.9514170040485830
 barablen stableought     | edu packimporto #1  | sports-apparel |             | 451.9514170040485830
 barablen stableought     | edu packimporto #1  |                |             | 451.9514170040485830
 barablen stableought     |                     |                |             | 451.9514170040485830
 eingeseeingantiought     | scholarmaxi #9      | history        | Books       | 452.1102040816326531
 eingeseeingantiought     | scholarmaxi #9      | history        |             | 452.1102040816326531
 eingeseeingantiought     | scholarmaxi #9      |                |             | 452.1102040816326531
 eingeseeingantiought     |                     |                |             | 452.1102040816326531
 ableanticallycallyought  | univamalgamalg #10  | memory         | Electronics | 454.3870967741935484
 ableanticallycallyought  | univamalgamalg #10  | memory         |             | 454.3870967741935484
 ableanticallycallyought  | univamalgamalg #10  |                |             | 454.3870967741935484
 ableanticallycallyought  |                     |                |             | 454.3870967741935484
 ableationbareseought     | exportiedu pack #1  | kids           | Shoes       | 454.9397590361445783
 ableationbareseought     | exportiedu pack #1  | kids           |             | 454.9397590361445783
 ableationbareseought     | exportiedu pack #1  |                |             | 454.9397590361445783
 ableationbareseought     |                     |                |             | 454.9397590361445783
 eingeseationcallyought   | amalgscholar #1     | rock           | Music       | 455.8427419354838710
 eingeseationcallyought   | amalgscholar #1     | rock           |             | 455.8427419354838710
 eingeseationcallyought   | amalgscholar #1     |                |             | 455.8427419354838710
 eingeseationcallyought   |                     |                |             | 455.8427419354838710
 callyprieseought         | importounivamalg #9 | camcorders     | Electronics | 457.1434426229508197
 callyprieseought         | importounivamalg #9 | camcorders     |             | 457.1434426229508197
 callyprieseought         | importounivamalg #9 |                |             | 457.1434426229508197
 callyprieseought         |                     |                |             | 457.1434426229508197
 esebareingeseought       | importonameless #5  | paint          | Home        | 459.2682926829268293
 esebareingeseought       | importonameless #5  | paint          |             | 459.2682926829268293
 esebareingeseought       | importonameless #5  |                |             | 459.2682926829268293
 esebareingeseought       |                     |                |             | 459.2682926829268293
 barbarcallyeseought      | scholarbrand #1     | custom         | Jewelry     | 459.3225806451612903
 barbarcallyeseought      | scholarbrand #1     | custom         |             | 459.3225806451612903
 barbarcallyeseought      | scholarbrand #1     |                |             | 459.3225806451612903
 barbarcallyeseought      |                     |                |             | 459.3225806451612903
 ableationprianti         | scholarunivamalg #1 | karoke         | Electronics | 459.4571428571428571
 ableationprianti         | scholarunivamalg #1 | karoke         |             | 459.4571428571428571
 ableationprianti         | scholarunivamalg #1 |                |             | 459.4571428571428571
 ableationprianti         |                     |                |             | 459.4571428571428571
 ableoughtesepriought     | edu packedu pack #1 | athletic       | Shoes       | 460.0081300813008130
 ableoughtesepriought     | edu packedu pack #1 | athletic       |             | 460.0081300813008130
 ableoughtesepriought     | edu packedu pack #1 |                |             | 460.0081300813008130
 ableoughtesepriought     |                     |                |             | 460.0081300813008130
 ableantibarese           | exportimaxi #3      | sailing        | Sports      | 460.2727272727272727
 ableantibarese           | exportimaxi #3      | sailing        |             | 460.2727272727272727
 ableantibarese           | exportimaxi #3      |                |             | 460.2727272727272727
 ableantibarese           |                     |                |             | 460.2727272727272727
 barbarn steing           | edu packamalg #1    | swimwear       | Women       | 460.3481781376518219
 barbarn steing           | edu packamalg #1    | swimwear       |             | 460.3481781376518219
 barbarn steing           | edu packamalg #1    |                |             | 460.3481781376518219
 barbarn steing           |                     |                |             | 460.3481781376518219
 callyn stprioughtought   | amalgbrand #7       | bathroom       | Home        | 460.4240000000000000
 callyn stprioughtought   | amalgbrand #7       | bathroom       |             | 460.4240000000000000
 callyn stprioughtought   | amalgbrand #7       |                |             | 460.4240000000000000
 callyn stprioughtought   |                     |                |             | 460.4240000000000000
 eingableeingable         | amalgimporto #1     | accessories    | Men         | 460.8264462809917355
 eingableeingable         | amalgimporto #1     | accessories    |             | 460.8264462809917355
 eingableeingable         | amalgimporto #1     |                |             | 460.8264462809917355
 eingableeingable         |                     |                |             | 460.8264462809917355
 ableoughtanti            | importoimporto #1   | shirts         | Men         | 460.8416666666666667
 ableoughtanti            | importoimporto #1   | shirts         |             | 460.8416666666666667
 ableoughtanti            | importoimporto #1   |                |             | 460.8416666666666667
 ableoughtanti            |                     |                |             | 460.8416666666666667
 callyn steingantiought   | corpcorp #1         | rings          | Jewelry     | 461.2292490118577075
 callyn steingantiought   | corpcorp #1         | rings          |             | 461.2292490118577075
 callyn steingantiought   | corpcorp #1         |                |             | 461.2292490118577075
 callyn steingantiought   |                     |                |             | 461.2292490118577075
 barableoughteseought     | amalgamalg #1       | dresses        | Women       | 461.4534412955465587
 barableoughteseought     | amalgamalg #1       | dresses        |             | 461.4534412955465587
 barableoughteseought     | amalgamalg #1       |                |             | 461.4534412955465587
 barableoughteseought     |                     |                |             | 461.4534412955465587
 barcallyantically        | maxibrand #1        | mattresses     | Home        | 461.6113360323886640
 barcallyantically        | maxibrand #1        | mattresses     |             | 461.6113360323886640
 barcallyantically        | maxibrand #1        |                |             | 461.6113360323886640
 barcallyantically        |                     |                |             | 461.6113360323886640
(100 rows)

