SKIPPED (c=100 failure; do not modify goopg)
progress: 1340.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1350.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1360.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1370.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1380.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1390.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1400.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1410.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1420.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1430.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1440.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1450.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1460.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1470.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1480.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1490.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1500.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1510.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1520.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1530.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
