pgbench (18.3)
starting vacuum...end.
progress: 10.0 s, 301.4 tps, lat 325.306 ms stddev 116.718, 0 failed
progress: 20.0 s, 313.2 tps, lat 319.180 ms stddev 108.471, 0 failed
progress: 30.0 s, 305.8 tps, lat 327.372 ms stddev 113.059, 0 failed
progress: 40.0 s, 276.9 tps, lat 360.970 ms stddev 126.510, 0 failed
progress: 50.0 s, 306.3 tps, lat 326.406 ms stddev 116.733, 0 failed
progress: 60.0 s, 335.7 tps, lat 298.323 ms stddev 101.582, 0 failed
progress: 70.0 s, 310.8 tps, lat 321.681 ms stddev 112.803, 0 failed
progress: 80.0 s, 320.5 tps, lat 311.781 ms stddev 103.152, 0 failed
progress: 90.0 s, 119.3 tps, lat 329.683 ms stddev 114.984, 0 failed
progress: 100.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 110.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 120.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 130.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 140.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 150.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 160.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 170.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 180.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 190.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 200.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 210.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 220.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 230.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 240.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 250.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 260.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 270.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 280.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 290.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 300.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 310.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 320.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 330.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 340.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 350.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 360.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 370.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 380.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 390.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 400.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 410.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 420.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 430.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 440.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 450.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 460.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 470.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 480.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 490.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 500.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 510.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 520.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 530.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 540.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 550.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 560.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 570.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 580.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 590.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 600.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 610.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 620.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 630.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 640.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 650.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 660.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 670.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 680.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 690.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 700.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 710.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 720.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 730.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 740.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 750.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 760.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 770.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 780.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 790.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 800.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 810.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 820.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 830.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 840.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
