target	clients	workload	tps	lat_avg_ms	lat_stddev_ms	status
goopg	100	select-only	6399.644590	15.624	14.481	ok
goopg	100	simple-update	NA	NA	NA	failed
goopg	100	standard	NA	NA	NA	failed
goopg	10	select-only	2307.739126	4.333	8.102	ok
goopg	10	simple-update	410.491713	24.359	8.536	ok
goopg	10	standard	349.291649	28.626	8.496	ok
goopg	50	select-only	5033.853897	9.932	11.057	ok
goopg	50	simple-update	347.255900	143.925	47.840	ok
goopg	50	standard	338.477521	147.659	44.214	ok
pg	100	select-only	45769.870275	2.184	1.657	ok
pg	100	simple-update	9658.302452	10.350	4.030	ok
pg	100	standard	6470.468231	15.447	8.209	ok
pg	10	select-only	37062.323774	0.269	0.071	ok
pg	10	simple-update	3355.169027	2.980	0.492	ok
pg	10	standard	2332.807396	4.286	1.017	ok
pg	50	select-only	62455.122752	0.800	0.683	ok
pg	50	simple-update	10166.490048	4.917	1.361	ok
pg	50	standard	7111.979894	7.028	2.884	ok
goopg	100	simple-update	NA	NA	NA	SKIPPED
goopg	100	standard	NA	NA	NA	SKIPPED
