   ca_zip   |   sum   
------------+---------
 30059      |  688.80
 30150      |  372.79
 30162      | 1202.21
 30169      | 1326.30
 30194      |  244.76
 30330      |  447.07
 30411      |  713.29
 30525      |  406.09
 30534      |  621.66
 31387      |  255.67
 31675      |  362.70
 31749      |  182.57
 31757      | 1553.34
 31933      |  208.88
 31952      |  746.87
 32219      |  572.59
 32293      |  828.11
 32477      |  329.28
 32724      |  519.06
 32812      |  521.17
 32898      |  733.01
 33075      |  190.62
 33451      |  312.29
 33604      | 1224.86
 33951      |  917.30
 34098      |  276.14
 34107      |  861.39
 34190      |  426.36
 34338      | 1040.10
 34466      |  774.76
 34593      | 1237.42
 34854      |  308.00
 34975      |  293.97
 35115      |  465.95
 35124      |  944.24
 35281      |  530.95
 35413      |  328.47
 35752      |  278.29
 35804      |  458.34
 35817      | 1176.90
 36060      |  173.58
 36074      |  230.91
 36098      |  397.95
 36115      |  298.06
 36192      |  268.91
 36534      |  299.08
 36557      |  788.49
 36614      |  569.06
 36787      |  463.11
 36867      |  224.29
 36871      |  777.15
 36971      |  505.82
 37057      |  548.32
 37683      |  526.34
 37746      |  243.02
 37838      |  623.38
 38054      |  410.54
 38075      |  827.32
 38119      |  237.47
 38167      |  620.19
 38222      |  830.83
 38354      |  466.35
 38370      | 1011.85
 38371      |  716.56
 38579      |  439.07
 38605      |  189.50
 38721      | 1768.08
 38828      |  261.89
 39003      |  573.60
 39101      | 1420.08
 39145      |  821.83
 39237      |  878.75
 39303      |  563.80
 39310      |  918.17
 39387      |  650.68
 39431      |  795.92
 39532      |  188.18
 39583      |  430.57
 39584      |  586.80
 39840      |  558.62
 39843      |  842.97
 90125      |  338.95
 90162      |  455.93
 90499      |  312.96
 91206      |  263.41
 91289      |  155.64
 91669      |  337.71
 91675      | 1458.26
 91749      |  249.45
 91904      |  142.44
 92293      |  599.55
 92898      |  259.62
 93003      |  148.25
 93394      |  293.30
 93425      |  975.77
 93683      | 1839.56
 94107      |  850.04
 94136      |  486.66
 94466      |  964.66
 94536      |  505.31
(100 rows)

