                   i_product_name                   |                      i_brand                       |                      i_class                       |                     i_category                     |         qoh          
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------
 callyesebaration                                   | namelesscorp #7                                    | mens watch                                         | Jewelry                                            | 437.3943089430894309
 callyesebaration                                   | namelesscorp #7                                    | mens watch                                         |                                                    | 437.3943089430894309
 callyesebaration                                   | namelesscorp #7                                    |                                                    |                                                    | 437.3943089430894309
 callyesebaration                                   |                                                    |                                                    |                                                    | 437.3943089430894309
 eseationcallyableought                             | importoexporti #1                                  | infants                                            | Children                                           | 444.5443548387096774
 eseationcallyableought                             | importoexporti #1                                  | infants                                            |                                                    | 444.5443548387096774
 eseationcallyableought                             | importoexporti #1                                  |                                                    |                                                    | 444.5443548387096774
 eseationcallyableought                             |                                                    |                                                    |                                                    | 444.5443548387096774
 eingableableationought                             | amalgimporto #1                                    | accessories                                        | Men                                                | 444.7142857142857143
 eingableableationought                             | amalgimporto #1                                    | accessories                                        |                                                    | 444.7142857142857143
 eingableableationought                             | amalgimporto #1                                    |                                                    |                                                    | 444.7142857142857143
 eingableableationought                             |                                                    |                                                    |                                                    | 444.7142857142857143
 ableationprieing                                   | amalgamalg #1                                      | dresses                                            | Women                                              | 445.9958333333333333
 ableationprieing                                   | amalgamalg #1                                      | dresses                                            |                                                    | 445.9958333333333333
 ableationprieing                                   | amalgamalg #1                                      |                                                    |                                                    | 445.9958333333333333
 ableationprieing                                   |                                                    |                                                    |                                                    | 445.9958333333333333
 eseablecallyationought                             | importoamalg #1                                    | fragrances                                         | Women                                              | 447.7698412698412698
 eseablecallyationought                             | importoamalg #1                                    | fragrances                                         |                                                    | 447.7698412698412698
 eseablecallyationought                             | importoamalg #1                                    |                                                    |                                                    | 447.7698412698412698
 eseablecallyationought                             |                                                    |                                                    |                                                    | 447.7698412698412698
 callybaresepriought                                | maximaxi #3                                        | science                                            | Books                                              | 449.4435483870967742
 callybaresepriought                                | maximaxi #3                                        | science                                            |                                                    | 449.4435483870967742
 callybaresepriought                                | maximaxi #3                                        |                                                    |                                                    | 449.4435483870967742
 callybaresepriought                                |                                                    |                                                    |                                                    | 449.4435483870967742
 callyationn stbarought                             | importoscholar #1                                  | country                                            | Music                                              | 449.4677419354838710
 callyationn stbarought                             | importoscholar #1                                  | country                                            |                                                    | 449.4677419354838710
 callyationn stbarought                             | importoscholar #1                                  |                                                    |                                                    | 449.4677419354838710
 callyationn stbarought                             |                                                    |                                                    |                                                    | 449.4677419354838710
 esen stpriation                                    | amalgimporto #1                                    | accessories                                        | Men                                                | 449.5447154471544715
 esen stpriation                                    | amalgimporto #1                                    | accessories                                        |                                                    | 449.5447154471544715
 esen stpriation                                    | amalgimporto #1                                    |                                                    |                                                    | 449.5447154471544715
 esen stpriation                                    |                                                    |                                                    |                                                    | 449.5447154471544715
 ableprin stantiought                               | amalgimporto #1                                    | accessories                                        | Men                                                | 450.2244897959183673
 ableprin stantiought                               | amalgimporto #1                                    | accessories                                        |                                                    | 450.2244897959183673
 ableprin stantiought                               | amalgimporto #1                                    |                                                    |                                                    | 450.2244897959183673
 ableprin stantiought                               |                                                    |                                                    |                                                    | 450.2244897959183673
 eseeseablecallyought                               | edu packimporto #1                                 | sports-apparel                                     | Men                                                | 450.2727272727272727
 eseeseablecallyought                               | edu packimporto #1                                 | sports-apparel                                     |                                                    | 450.2727272727272727
 eseeseablecallyought                               | edu packimporto #1                                 |                                                    |                                                    | 450.2727272727272727
 eseeseablecallyought                               |                                                    |                                                    |                                                    | 450.2727272727272727
 ableesebaranti                                     | importomaxi #3                                     | guns                                               | Sports                                             | 450.4918699186991870
 ableesebaranti                                     | importomaxi #3                                     | guns                                               |                                                    | 450.4918699186991870
 ableesebaranti                                     | importomaxi #3                                     |                                                    |                                                    | 450.4918699186991870
 ableesebaranti                                     |                                                    |                                                    |                                                    | 450.4918699186991870
 eseationeingese                                    | edu packamalg #1                                   | swimwear                                           | Women                                              | 450.7450199203187251
 eseationeingese                                    | edu packamalg #1                                   | swimwear                                           |                                                    | 450.7450199203187251
 eseationeingese                                    | edu packamalg #1                                   |                                                    |                                                    | 450.7450199203187251
 eseationeingese                                    |                                                    |                                                    |                                                    | 450.7450199203187251
 ableablen stought                                  | exportischolar #1                                  | pop                                                | Music                                              | 451.5928853754940711
 ableablen stought                                  | exportischolar #1                                  | pop                                                |                                                    | 451.5928853754940711
 ableablen stought                                  | exportischolar #1                                  |                                                    |                                                    | 451.5928853754940711
 ableablen stought                                  |                                                    |                                                    |                                                    | 451.5928853754940711
