 d_week_seq1 | round | round | round | round | round | round | round 
-------------+-------+-------+-------+-------+-------+-------+-------
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5114 |  1.21 |  0.86 |       |       |  0.64 |  1.03 |  0.86
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
        5115 |  0.87 |  1.15 |  1.05 |  1.06 |  0.96 |  0.83 |  1.29
