 i_manufact_id | total_sales 
---------------+-------------
           938 |       20.45
           703 |       44.55
           904 |       47.40
           890 |       59.24
           745 |       70.47
           405 |       85.33
           931 |      306.00
           652 |      381.80
           978 |      422.94
           817 |      432.50
           828 |      449.60
           932 |      471.31
           949 |      591.26
           465 |      683.74
           447 |      892.75
           770 |      903.71
           765 |      951.36
           558 |     1019.07
           706 |     1289.68
           853 |     1359.36
           381 |     1422.22
           737 |     1437.90
           434 |     1554.77
           983 |     1612.17
           499 |     1638.11
           420 |     1745.72
           773 |     2120.88
           796 |     2200.84
           829 |     2260.70
           891 |     2336.76
           700 |     2389.79
           841 |     2561.56
           839 |     2642.98
           643 |     2800.54
           848 |     2871.95
           603 |     3024.88
           965 |     3025.48
           755 |     3150.00
           423 |     3186.50
           509 |     3304.78
           936 |     3430.97
           337 |     3484.21
           869 |     3515.64
           823 |     3518.50
           413 |     3529.68
           383 |     3611.02
           767 |     3614.73
           696 |     3650.31
           945 |     3869.58
           783 |     3954.05
           533 |     4029.75
           776 |     4036.86
           990 |     4069.31
           632 |     4267.32
           749 |     4268.43
           964 |     4298.63
           717 |     4492.77
           474 |     4534.92
           574 |     4537.87
           991 |     4875.05
           856 |     5121.73
           600 |     5153.92
           590 |     5192.95
           113 |     5308.64
           460 |     5334.43
           791 |     5409.95
           677 |     5419.16
           699 |     5483.12
           333 |     5505.51
           470 |     5591.24
           635 |     5637.77
           493 |     5644.21
           998 |     5644.80
           926 |     5746.06
           961 |     5806.61
           563 |     5932.01
           725 |     5947.44
           646 |     5978.70
            92 |     6054.13
           993 |     6081.85
           721 |     6104.42
           397 |     6122.73
           971 |     6130.51
           426 |     6257.25
           531 |     6273.77
           503 |     6290.08
           921 |     6303.85
           819 |     6461.16
           519 |     6506.17
           310 |     6561.36
           808 |     6569.13
           203 |     6571.60
          1000 |     6772.51
           598 |     6775.44
           660 |     6836.87
           135 |     6912.34
           582 |     6973.43
           349 |     7021.54
           920 |     7183.20
           562 |     7350.76
(100 rows)

