 ca_state | cd_gender | cd_marital_status | cd_dep_count | cnt1 |          avg           | stddev_samp | sum | cd_dep_employed_count | cnt2 |          avg           | stddev_samp | sum | cd_dep_college_count | cnt3 |          avg           | stddev_samp | sum 
----------+-----------+-------------------+--------------+------+------------------------+-------------+-----+-----------------------+------+------------------------+-------------+-----+----------------------+------+------------------------+-------------+-----
 AK       | F         | U                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    2 |    1 |     2.0000000000000000 |             |   2
 AK       | F         | W                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    6 |    1 |     6.0000000000000000 |             |   6
 AK       | M         | W                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    4 |    1 |     4.0000000000000000 |             |   4
 AL       | F         | D                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    5 |    1 |     5.0000000000000000 |             |   5
 AL       | F         | M                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    5 |    1 |     5.0000000000000000 |             |   5
 AL       | F         | M                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    5 |    1 |     5.0000000000000000 |             |   5
 AL       | F         | S                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    2 |    1 |     2.0000000000000000 |             |   2
 AL       | F         | S                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    6 |    1 |     6.0000000000000000 |             |   6
 AL       | F         | U                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    3 |    1 |     3.0000000000000000 |             |   3
 AL       | F         | U                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    5 |    1 |     5.0000000000000000 |             |   5
