 s_store_name | s_company_name | d_year |   avg_monthly_sales   | sum_sales |  psum   |  nsum   
--------------+----------------+--------+-----------------------+-----------+---------+---------
 ation        | Unknown        |   2000 | 2572.0691666666666667 |    607.20 | 1956.62 | 1635.62
 ation        | Unknown        |   2000 | 2693.8158333333333333 |    751.84 | 1599.44 | 1268.09
 eing         | Unknown        |   2000 | 2620.2725000000000000 |    686.38 | 1989.70 | 1326.99
 ation        | Unknown        |   2000 | 2522.0366666666666667 |    681.87 | 1687.97 | 1133.29
 ought        | Unknown        |   2000 | 2698.4358333333333333 |    896.42 | 1095.74 | 3924.11
 ation        | Unknown        |   2000 | 2693.8158333333333333 |    913.81 | 1919.73 | 1599.44
 bar          | Unknown        |   2000 | 2785.0258333333333333 |   1022.66 | 1683.50 | 1821.72
 eing         | Unknown        |   2000 | 2717.8733333333333333 |    959.10 | 2888.75 | 1910.92
 bar          | Unknown        |   2000 | 2785.0258333333333333 |   1028.46 | 2521.93 | 3866.68
 ought        | Unknown        |   2000 | 2690.2066666666666667 |    970.74 | 1638.29 | 1370.09
 ought        | Unknown        |   2000 | 2454.0483333333333333 |    749.05 | 1487.89 | 1603.37
 ese          | Unknown        |   2000 | 2334.0216666666666667 |    670.87 | 1364.87 | 1566.10
 bar          | Unknown        |   2000 | 2546.1208333333333333 |    891.50 | 1710.63 |  979.20
 ation        | Unknown        |   2000 | 2601.7541666666666667 |    951.62 | 1609.76 | 1682.61
 ation        | Unknown        |   2000 | 2572.0691666666666667 |    928.65 | 1739.05 | 1956.62
 ought        | Unknown        |   2000 | 2698.4358333333333333 |   1055.97 | 1263.21 | 1256.41
 bar          | Unknown        |   2000 | 2497.9308333333333333 |    860.43 | 1544.42 | 1273.05
 bar          | Unknown        |   2000 | 2665.6716666666666667 |   1034.67 | 1910.00 | 1678.69
 ought        | Unknown        |   2000 | 2604.6741666666666667 |    986.44 | 1880.45 | 1128.85
 ought        | Unknown        |   2000 | 2604.6741666666666667 |    999.13 | 1420.61 | 4125.14
 ought        | Unknown        |   2000 | 2698.4358333333333333 |   1095.74 | 1489.64 |  896.42
 bar          | Unknown        |   2000 | 2665.6716666666666667 |   1075.78 | 1703.06 | 3552.91
 ation        | Unknown        |   2000 | 2569.3591666666666667 |    986.99 | 1872.72 | 3417.25
 ation        | Unknown        |   2000 | 2495.7766666666666667 |    914.80 | 2300.25 | 1892.99
 eing         | Unknown        |   2000 | 2293.3733333333333333 |    717.12 | 1369.81 | 1452.94
 eing         | Unknown        |   2000 | 2057.6775000000000000 |    489.84 | 1151.86 | 1521.61
 bar          | Unknown        |   2000 | 2546.1208333333333333 |    979.20 |  891.50 | 1547.72
 ought        | Unknown        |   2000 | 2569.5250000000000000 |   1005.36 | 1834.73 | 1457.14
 bar          | Unknown        |   2000 | 2766.8741666666666667 |   1203.39 | 1735.75 | 1327.49
 ation        | Unknown        |   2000 | 2434.9975000000000000 |    876.48 |  949.03 | 1241.74
 ation        | Unknown        |   2000 | 2294.9558333333333333 |    740.35 | 1096.89 | 1645.02
 able         | Unknown        |   2000 | 2449.6508333333333333 |    895.39 | 1615.33 | 3149.81
 ation        | Unknown        |   2000 | 2569.3591666666666667 |   1024.75 | 1202.91 | 1872.72
 bar          | Unknown        |   2000 | 2481.8875000000000000 |    939.28 | 1849.76 | 1510.39
 ation        | Unknown        |   2000 | 2522.0366666666666667 |    987.80 | 1133.29 | 1021.83
 eing         | Unknown        |   2000 | 2717.8733333333333333 |   1195.28 | 1487.86 | 1325.19
 eing         | Unknown        |   2000 | 2247.8383333333333333 |    726.57 |  879.64 | 3142.89
 eing         | Unknown        |   2000 | 2287.6725000000000000 |    771.07 |  976.89 | 3412.46
 eing         | Unknown        |   2000 | 2540.4158333333333333 |   1029.33 | 1629.24 | 1084.76
 bar          | Unknown        |   2000 | 2497.9308333333333333 |    987.08 | 1613.56 | 1494.76
 ought        | Unknown        |   2000 | 2508.5791666666666667 |    998.98 | 1765.42 | 2634.39
 able         | Unknown        |   2000 | 2491.6575000000000000 |    985.73 | 1801.41 | 1408.39
 ation        | Unknown        |   2000 | 2434.9975000000000000 |    932.23 | 1494.78 | 1730.50
 eing         | Unknown        |   2000 | 2717.8733333333333333 |   1217.31 | 1910.92 | 1404.63
 ation        | Unknown        |   2000 | 2522.0366666666666667 |   1021.83 |  987.80 | 3449.60
 ation        | Unknown        |   2000 | 2597.2758333333333333 |   1097.48 | 1356.73 | 1326.39
 ought        | Unknown        |   2000 | 2508.5791666666666667 |   1022.19 | 1634.93 | 1443.17
 ation        | Unknown        |   2000 | 2434.9975000000000000 |    949.03 | 1730.50 |  876.48
 eing         | Unknown        |   2000 | 2287.6725000000000000 |    801.85 | 1074.53 | 1654.56
 able         | Unknown        |   2000 | 2584.8208333333333333 |   1106.04 | 1549.29 | 3529.68
 ought        | Unknown        |   2000 | 2604.6741666666666667 |   1128.85 |  986.44 | 1701.87
 bar          | Unknown        |   2000 | 2401.0566666666666667 |    930.47 | 1180.44 | 1551.24
 able         | Unknown        |   2000 | 2483.7075000000000000 |   1014.44 | 1725.47 | 1565.27
 ation        | Unknown        |   2000 | 2569.3591666666666667 |   1101.73 | 1988.09 | 1586.04
 ation        | Unknown        |   2000 | 2370.7800000000000000 |    904.06 | 1595.60 | 1116.07
 able         | Unknown        |   2000 | 2584.8208333333333333 |   1118.59 | 1788.92 | 1249.16
 eing         | Unknown        |   2000 | 2696.6191666666666667 |   1233.77 | 1319.02 | 3307.33
 eing         | Unknown        |   2000 | 2447.9208333333333333 |    986.20 | 1903.19 | 3380.26
 bar          | Unknown        |   2000 | 2375.5425000000000000 |    914.89 | 1455.66 | 1497.38
 bar          | Unknown        |   2000 | 2401.0566666666666667 |    941.94 | 1958.02 | 1075.01
 eing         | Unknown        |   2000 | 2540.4158333333333333 |   1084.76 | 1029.33 | 3580.91
 eing         | Unknown        |   2000 | 2625.7858333333333333 |   1171.20 | 1451.53 | 1928.52
 ation        | Unknown        |   2000 | 2242.5600000000000000 |    791.76 | 2139.16 |  915.66
 able         | Unknown        |   2000 | 2442.7925000000000000 |    999.78 | 1214.48 | 3739.70
 ese          | Unknown        |   2000 | 2455.1725000000000000 |   1012.57 | 1054.13 | 2973.99
 ought        | Unknown        |   2000 | 2698.4358333333333333 |   1256.41 | 1055.97 | 1489.64
 bar          | Unknown        |   2000 | 2766.8741666666666667 |   1327.49 | 1203.39 | 1603.64
 eing         | Unknown        |   2000 | 2447.9208333333333333 |   1009.19 | 1688.91 | 1082.35
 eing         | Unknown        |   2000 | 1959.5125000000000000 |    521.35 | 1732.28 |  829.08
 eing         | Unknown        |   2000 | 2387.6158333333333333 |    951.74 | 1113.93 | 1392.38
 ought        | Unknown        |   2000 | 2698.4358333333333333 |   1263.21 | 2633.82 | 1055.97
 ese          | Unknown        |   2000 | 2411.5416666666666667 |    979.03 | 1821.60 | 1544.74
 ought        | Unknown        |   2000 | 2620.8716666666666667 |   1189.95 | 1769.09 | 1586.72
 ation        | Unknown        |   2000 | 2311.6883333333333333 |    882.19 | 1286.73 | 1333.16
 able         | Unknown        |   2000 | 2253.9000000000000000 |    826.70 | 1621.49 | 1179.86
 ation        | Unknown        |   2000 | 2693.8158333333333333 |   1268.09 |  751.84 | 3553.87
 able         | Unknown        |   2000 | 2442.7925000000000000 |   1022.62 | 1365.57 | 1214.48
 ese          | Unknown        |   2000 | 2249.0308333333333333 |    829.87 | 1508.55 | 1322.77
 ese          | Unknown        |   2000 | 2334.0216666666666667 |    915.87 | 1395.12 | 1113.98
 able         | Unknown        |   2000 | 2483.7075000000000000 |   1068.70 | 1565.27 | 1685.64
 able         | Unknown        |   2000 | 2444.9991666666666667 |   1030.16 | 1899.41 | 1579.33
 ation        | Unknown        |   2000 | 2242.5600000000000000 |    833.93 | 1620.51 |  980.55
 able         | Unknown        |   2000 | 2510.9658333333333333 |   1103.18 | 1547.96 | 1138.42
 eing         | Unknown        |   2000 | 2625.7858333333333333 |   1219.00 | 1928.52 | 1792.13
 ought        | Unknown        |   2000 | 2611.0008333333333333 |   1208.62 | 1747.23 | 1689.55
 ese          | Unknown        |   2000 | 2455.1725000000000000 |   1054.13 | 1242.55 | 1012.57
 eing         | Unknown        |   2000 | 2234.5925000000000000 |    835.62 | 1173.61 | 1479.16
 eing         | Unknown        |   2000 | 2717.8733333333333333 |   1325.19 | 1195.28 | 3578.72
 ese          | Unknown        |   2000 | 2264.5716666666666667 |    875.69 | 1138.69 | 3022.94
 ation        | Unknown        |   2000 | 2522.0366666666666667 |   1133.29 |  681.87 |  987.80
 ought        | Unknown        |   2000 | 2138.9491666666666667 |    752.80 |  865.09 | 1126.49
 ese          | Unknown        |   2000 | 2077.9925000000000000 |    695.12 | 1166.71 | 1951.74
 eing         | Unknown        |   2000 | 2540.4158333333333333 |   1159.58 | 1377.01 | 1629.24
 eing         | Unknown        |   2000 | 2696.6191666666666667 |   1319.02 | 1625.36 | 1233.77
 eing         | Unknown        |   2000 | 2696.6191666666666667 |   1319.10 | 1892.43 | 1353.98
 eing         | Unknown        |   2000 | 2420.0141666666666667 |   1043.11 | 1069.78 | 1312.45
 bar          | Unknown        |   2000 | 2305.0483333333333333 |    928.20 | 1520.59 | 1296.92
 ese          | Unknown        |   2000 | 2561.8958333333333333 |   1185.95 | 2406.83 | 1439.29
 ese          | Unknown        |   2000 | 2438.4066666666666667 |   1064.20 | 2580.12 | 1420.54
 able         | Unknown        |   2000 | 2535.0541666666666667 |   1161.32 | 1327.64 | 1525.83
(100 rows)

