 channel | item  |      return_ratio      | return_rank | currency_rank 
---------+-------+------------------------+-------------+---------------
 catalog |  8980 | 0.73195876288659793814 |           1 |             1
 catalog | 10720 | 0.75280898876404494382 |           2 |             2
 catalog | 12877 | 0.76470588235294117647 |           3 |             3
 catalog |  2767 | 0.77000000000000000000 |           4 |             4
 catalog | 13663 | 0.77777777777777777778 |           5 |             5
 catalog | 14684 | 0.80000000000000000000 |           6 |             6
 catalog |  8302 | 0.83673469387755102041 |           7 |             7
 catalog |  9589 | 0.83870967741935483871 |           8 |            21
 catalog |  4231 | 0.86746987951807228916 |           9 |             8
 catalog | 16711 | 0.88297872340425531915 |          10 |             9
 catalog | 16316 | 0.88732394366197183099 |          11 |            10
 store   | 12470 | 0.72727272727272727273 |           1 |             1
 store   | 14168 | 0.74468085106382978723 |           2 |             2
 store   |  4951 | 0.74698795180722891566 |           3 |             3
 store   |   751 | 0.79545454545454545455 |           4 |             4
 store   |  3661 | 0.80000000000000000000 |           5 |             5
 store   | 16120 | 0.88297872340425531915 |           6 |             6
 store   | 16696 | 0.92500000000000000000 |           7 |             7
 store   | 12212 | 0.92553191489361702128 |           8 |             8
 store   | 11605 | 0.95454545454545454545 |           9 |             9
 store   | 12158 | 0.97560975609756097561 |          10 |            10
 web     |  3614 | 0.54639175257731958763 |           1 |             1
 web     | 10898 | 0.97826086956521739130 |           2 |             2
 web     |  8851 | 0.98823529411764705882 |           3 |             3
 web     | 10196 | 1.00000000000000000000 |           4 |             4
(25 rows)

