 item_sk |   d_date   | web_sales | store_sales | web_cumulative | store_cumulative 
---------+------------+-----------+-------------+----------------+------------------
       9 | 2001-02-06 |           |       19.99 |          57.56 |            19.99
       9 | 2001-02-28 |           |       30.32 |          57.56 |            30.32
       9 | 2001-03-09 |           |       50.20 |          57.56 |            50.20
       9 | 2001-10-26 |    508.85 |             |         508.85 |           482.81
       9 | 2001-10-30 |           |      497.08 |         508.85 |           497.08
      19 | 2001-04-08 |           |       40.48 |         132.97 |            40.48
      19 | 2001-04-20 |           |       58.99 |         132.97 |            58.99
      19 | 2001-05-02 |    189.64 |             |         189.64 |            58.99
      19 | 2001-05-03 |    254.08 |             |         254.08 |            58.99
      19 | 2001-05-13 |           |      178.93 |         254.08 |           178.93
      19 | 2001-05-22 |           |      188.98 |         254.08 |           188.98
      19 | 2001-06-19 |    308.50 |             |         308.50 |           188.98
      19 | 2001-08-12 |    315.41 |             |         315.41 |           188.98
      19 | 2001-08-19 |           |      244.02 |         315.41 |           244.02
      19 | 2001-08-21 |           |      291.08 |         315.41 |           291.08
      21 | 2001-02-17 |           |       20.24 |         108.33 |            20.24
      21 | 2001-03-15 |           |       32.91 |         108.33 |            32.91
      21 | 2001-03-26 |           |       41.62 |         108.33 |            41.62
      21 | 2001-03-27 |           |       42.60 |         108.33 |            42.60
      21 | 2001-03-29 |           |       56.21 |         108.33 |            56.21
      21 | 2001-04-10 |    121.33 |             |         121.33 |            56.21
      21 | 2001-05-13 |           |       68.13 |         121.33 |            68.13
      21 | 2001-09-17 |    292.46 |             |         292.46 |           284.80
      23 | 2001-02-03 |           |       12.46 |          83.20 |            12.46
      23 | 2001-03-09 |    144.87 |             |         144.87 |            12.46
      23 | 2001-03-15 |           |       77.65 |         144.87 |            77.65
      23 | 2001-03-22 |           |       77.99 |         144.87 |            77.99
      23 | 2001-05-08 |    146.13 |             |         146.13 |            77.99
      23 | 2001-06-04 |    157.50 |             |         157.50 |           153.68
      23 | 2001-09-06 |    474.65 |             |         474.65 |           463.47
      23 | 2001-09-07 |    484.18 |             |         484.18 |           463.47
      23 | 2001-09-24 |           |      469.02 |         484.18 |           469.02
      23 | 2001-09-26 |           |      471.84 |         484.18 |           471.84
      23 | 2001-10-09 |           |      479.65 |         484.18 |           479.65
      23 | 2001-10-10 |           |      483.06 |         484.18 |           483.06
      23 | 2001-10-26 |    540.41 |             |         540.41 |           483.06
      23 | 2001-11-12 |    601.85 |             |         601.85 |           483.06
      23 | 2001-11-16 |           |      560.66 |         601.85 |           560.66
      23 | 2001-11-19 |           |      568.24 |         601.85 |           568.24
      23 | 2001-11-24 |           |      581.75 |         601.85 |           581.75
      25 | 2001-01-26 |     64.45 |             |          64.45 |             5.31
      25 | 2001-02-01 |           |       13.81 |          64.45 |            13.81
      25 | 2001-05-14 |    244.15 |             |         244.15 |           243.55
      27 | 2001-10-12 |    524.41 |             |         524.41 |           503.27
      29 | 2001-03-08 |    129.34 |      107.04 |         129.34 |           107.04
      29 | 2001-03-22 |    162.86 |             |         162.86 |           107.04
      29 | 2001-04-05 |           |      123.17 |         162.86 |           123.17
      29 | 2001-04-08 |    183.11 |             |         183.11 |           123.17
      29 | 2001-04-10 |           |      133.17 |         183.11 |           133.17
      37 | 2001-01-14 |     42.52 |             |          42.52 |            23.52
      43 | 2001-01-15 |    174.23 |             |         174.23 |            10.22
      43 | 2001-01-24 |           |       17.23 |         174.23 |            17.23
      43 | 2001-02-07 |           |       46.46 |         174.23 |            46.46
