 i_manufact_id | sum_sales | avg_quarterly_sales  
---------------+-----------+----------------------
           632 |     11.55 | 109.7550000000000000
           632 |     24.93 | 109.7550000000000000
           632 |    156.24 | 109.7550000000000000
           632 |    246.30 | 109.7550000000000000
           204 |     87.44 | 125.2225000000000000
           204 |     96.67 | 125.2225000000000000
           204 |    194.73 | 125.2225000000000000
           678 |     26.99 | 128.8975000000000000
           678 |     34.22 | 128.8975000000000000
           678 |     58.96 | 128.8975000000000000
           678 |    395.42 | 128.8975000000000000
             7 |     24.43 | 130.7825000000000000
             7 |     58.87 | 130.7825000000000000
             7 |    181.71 | 130.7825000000000000
             7 |    258.12 | 130.7825000000000000
           850 |     60.34 | 132.7950000000000000
           850 |     72.82 | 132.7950000000000000
           850 |    109.95 | 132.7950000000000000
           850 |    288.07 | 132.7950000000000000
           315 |     37.02 | 135.0875000000000000
           315 |     94.91 | 135.0875000000000000
           315 |    176.68 | 135.0875000000000000
           315 |    231.74 | 135.0875000000000000
           696 |      3.15 | 144.9225000000000000
           696 |    126.03 | 144.9225000000000000
           696 |    126.48 | 144.9225000000000000
           696 |    324.03 | 144.9225000000000000
             8 |     53.07 | 151.9700000000000000
             8 |     79.23 | 151.9700000000000000
             8 |     89.63 | 151.9700000000000000
             8 |    385.95 | 151.9700000000000000
           115 |     80.53 | 152.8175000000000000
           115 |     86.14 | 152.8175000000000000
           115 |    178.37 | 152.8175000000000000
           115 |    266.23 | 152.8175000000000000
           796 |     41.76 | 156.8775000000000000
           796 |     58.26 | 156.8775000000000000
           796 |     91.80 | 156.8775000000000000
           796 |    435.69 | 156.8775000000000000
           421 |     10.17 | 162.4375000000000000
           421 |     49.02 | 162.4375000000000000
           421 |    294.63 | 162.4375000000000000
           421 |    295.93 | 162.4375000000000000
           127 |     43.57 | 167.7575000000000000
           127 |    136.38 | 167.7575000000000000
           127 |    238.95 | 167.7575000000000000
           127 |    252.13 | 167.7575000000000000
             2 |     78.25 | 168.3125000000000000
             2 |    188.64 | 168.3125000000000000
             2 |    200.70 | 168.3125000000000000
             2 |    205.66 | 168.3125000000000000
           989 |     43.40 | 172.7525000000000000
           989 |     88.03 | 172.7525000000000000
           989 |    375.83 | 172.7525000000000000
           308 |     32.09 | 175.8925000000000000
           308 |    111.83 | 175.8925000000000000
           308 |    384.33 | 175.8925000000000000
            64 |     42.61 | 180.5900000000000000
            64 |    149.98 | 180.5900000000000000
            64 |    160.99 | 180.5900000000000000
            64 |    368.78 | 180.5900000000000000
            23 |     91.70 | 185.5875000000000000
            23 |    263.98 | 185.5875000000000000
            91 |     33.53 | 187.3425000000000000
            91 |    347.88 | 187.3425000000000000
           661 |     61.36 | 187.3750000000000000
           661 |    147.14 | 187.3750000000000000
           661 |    244.86 | 187.3750000000000000
           661 |    296.14 | 187.3750000000000000
           109 |     76.17 | 190.3250000000000000
           109 |     87.31 | 190.3250000000000000
           109 |    417.59 | 190.3250000000000000
           533 |    127.39 | 190.3325000000000000
           533 |    163.82 | 190.3325000000000000
           533 |    170.53 | 190.3325000000000000
           533 |    299.59 | 190.3325000000000000
           342 |     52.66 | 190.7200000000000000
           342 |    103.42 | 190.7200000000000000
           342 |    399.08 | 190.7200000000000000
           542 |     53.69 | 194.1650000000000000
           542 |    260.02 | 194.1650000000000000
           542 |    269.56 | 194.1650000000000000
           160 |     66.53 | 196.4350000000000000
           160 |     71.14 | 196.4350000000000000
           160 |    173.95 | 196.4350000000000000
           160 |    474.12 | 196.4350000000000000
           360 |     55.46 | 197.5225000000000000
           360 |    135.62 | 197.5225000000000000
           360 |    143.71 | 197.5225000000000000
           360 |    455.30 | 197.5225000000000000
           549 |     79.34 | 198.1775000000000000
           549 |    250.90 | 198.1775000000000000
           549 |    263.27 | 198.1775000000000000
           316 |    119.62 | 199.3600000000000000
           316 |    122.52 | 199.3600000000000000
           316 |    248.88 | 199.3600000000000000
           316 |    306.42 | 199.3600000000000000
           591 |     55.30 | 205.1825000000000000
           591 |    241.47 | 205.1825000000000000
           591 |    249.73 | 205.1825000000000000
(100 rows)

