     channel     |              id              |   sales   | returns  |  profit   
-----------------+------------------------------+-----------+----------+-----------
 catalog channel | catalog_pageAAAAAAAAAAABAAAA |  69278.60 |     0.00 | -23617.78
 catalog channel | catalog_pageAAAAAAAAABABAAAA |  39746.94 |     0.00 | -16863.12
 catalog channel | catalog_pageAAAAAAAAACABAAAA |  58654.30 |   730.25 |   1363.94
 catalog channel | catalog_pageAAAAAAAAACIAAAAA |      0.00 |   316.00 |   -487.93
 catalog channel | catalog_pageAAAAAAAAADABAAAA |  60523.71 |     0.00 |   2683.19
 catalog channel | catalog_pageAAAAAAAAADCBAAAA |  51503.53 |     0.00 |   6614.13
 catalog channel | catalog_pageAAAAAAAAAEABAAAA |  34003.79 |  2007.72 | -18033.43
 catalog channel | catalog_pageAAAAAAAAAECBAAAA |  51863.28 |     0.00 | -11797.98
 catalog channel | catalog_pageAAAAAAAAAEPAAAAA |      0.00 |   745.57 |  -2382.22
 catalog channel | catalog_pageAAAAAAAAAFABAAAA |  35300.62 |    10.36 |   2045.68
 catalog channel | catalog_pageAAAAAAAAAFCBAAAA |  29952.28 |     0.00 | -16771.34
 catalog channel | catalog_pageAAAAAAAAAGABAAAA |  67801.50 |     0.00 |  -3822.34
 catalog channel | catalog_pageAAAAAAAAAGCBAAAA |  23784.94 |     0.00 | -10866.30
 catalog channel | catalog_pageAAAAAAAAAGPAAAAA |      0.00 |  1116.64 |   -526.38
 catalog channel | catalog_pageAAAAAAAAAHABAAAA |  33519.34 |     0.00 | -11384.40
 catalog channel | catalog_pageAAAAAAAAAHCBAAAA |  48973.86 |     0.00 |  11043.73
 catalog channel | catalog_pageAAAAAAAAAHMAAAAA |      0.00 |   259.42 |   -113.16
 catalog channel | catalog_pageAAAAAAAAAHPAAAAA |      0.00 |    98.64 |    -58.49
 catalog channel | catalog_pageAAAAAAAAAIBBAAAA |      0.00 |  1961.78 |  -2067.43
 catalog channel | catalog_pageAAAAAAAAAICBAAAA |  36958.81 |     0.00 | -16844.33
 catalog channel | catalog_pageAAAAAAAAAIPAAAAA |      0.00 |   649.76 |   -427.66
 catalog channel | catalog_pageAAAAAAAAAJABAAAA |      0.00 |    59.40 |   -109.02
 catalog channel | catalog_pageAAAAAAAAAJCBAAAA |  28818.24 |     0.00 |  -5074.75
 catalog channel | catalog_pageAAAAAAAAAJPAAAAA |      0.00 | 10942.46 |  -5932.68
 catalog channel | catalog_pageAAAAAAAAAKPAAAAA | 111177.45 |     0.00 |  -8868.77
 catalog channel | catalog_pageAAAAAAAAALPAAAAA |  76639.87 |   267.47 | -17917.01
 catalog channel | catalog_pageAAAAAAAAAMBBAAAA |      0.00 |  4716.80 |  -1832.19
 catalog channel | catalog_pageAAAAAAAAAMPAAAAA | 144181.05 |    69.20 |  21800.28
 catalog channel | catalog_pageAAAAAAAAANPAAAAA | 120490.87 |     0.00 |  20251.04
 catalog channel | catalog_pageAAAAAAAAAOBBAAAA |      0.00 |   352.65 |   -277.23
 catalog channel | catalog_pageAAAAAAAAAOIAAAAA |      0.00 |   721.70 |   -827.55
 catalog channel | catalog_pageAAAAAAAAAOPAAAAA |  49002.83 |     0.00 |  -7481.46
 catalog channel | catalog_pageAAAAAAAAAPPAAAAA |  95123.53 |     0.00 | -26917.42
 catalog channel | catalog_pageAAAAAAAABAABAAAA |  67583.48 |   658.60 | -13501.28
