                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |  sumsales   | rk  
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+-------------+-----
 Books                                              | arts                                               | amalgmaxi #10                                      |                |        |       |       |            |   367381.32 |  85
 Books                                              | arts                                               | amalgmaxi #12                                      |                |        |       |       |            |   537659.12 |  49
 Books                                              | arts                                               | amalgmaxi #2                                       |                |        |       |       |            |   402909.02 |  76
 Books                                              | arts                                               | amalgmaxi #8                                       |                |        |       |       |            |   381625.16 |  82
 Books                                              | arts                                               |                                                    |                |        |       |       |            |  2248130.63 |  17
 Books                                              | business                                           | importomaxi #12                                    |                |        |       |       |            |   343810.17 |  93
 Books                                              | business                                           | importomaxi #2                                     |                |        |       |       |            |   584948.83 |  40
 Books                                              | business                                           | importomaxi #4                                     |                |        |       |       |            |   428105.24 |  70
 Books                                              | business                                           | importomaxi #8                                     |                |        |       |       |            |   515792.84 |  51
 Books                                              | business                                           |                                                    |                |        |       |       |            |  2573822.39 |  15
 Books                                              | computers                                          | exportimaxi #10                                    |                |        |       |       |            |   509046.04 |  53
 Books                                              | computers                                          | exportimaxi #12                                    |                |        |       |       |            |   490641.93 |  57
 Books                                              | computers                                          | exportimaxi #2                                     |                |        |       |       |            |   601640.83 |  37
 Books                                              | computers                                          | exportimaxi #4                                     |                |        |       |       |            |   582483.49 |  41
 Books                                              | computers                                          | exportimaxi #6                                     |                |        |       |       |            |   372399.41 |  84
 Books                                              | computers                                          | exportimaxi #8                                     |                |        |       |       |            |   575365.38 |  42
 Books                                              | computers                                          |                                                    |                |        |       |       |            |  3551029.23 |   2
 Books                                              | cooking                                            | amalgunivamalg #10                                 |                |        |       |       |            |   362894.22 |  87
 Books                                              | cooking                                            | amalgunivamalg #12                                 |                |        |       |       |            |   416183.73 |  72
 Books                                              | cooking                                            | amalgunivamalg #4                                  |                |        |       |       |            |   563768.20 |  45
 Books                                              | cooking                                            | amalgunivamalg #6                                  |                |        |       |       |            |   357452.38 |  90
 Books                                              | cooking                                            | amalgunivamalg #8                                  |                |        |       |       |            |   411804.03 |  73
 Books                                              | cooking                                            |                                                    |                |        |       |       |            |  2645097.84 |  14
 Books                                              | entertainments                                     | edu packmaxi #10                                   |                |        |       |       |            |   547714.00 |  48
 Books                                              | entertainments                                     | edu packmaxi #2                                    |                |        |       |       |            |   497374.61 |  54
 Books                                              | entertainments                                     | edu packmaxi #4                                    |                |        |       |       |            |   585932.53 |  39
 Books                                              | entertainments                                     | edu packmaxi #6                                    |                |        |       |       |            |   373886.24 |  83
 Books                                              | entertainments                                     | edu packmaxi #8                                    |                |        |       |       |            |   459251.59 |  64
 Books                                              | entertainments                                     |                                                    |                |        |       |       |            |  2970746.09 |  11
 Books                                              | fiction                                            | scholarunivamalg #10                               |                |        |       |       |            |   517590.53 |  50
 Books                                              | fiction                                            | scholarunivamalg #12                               |                |        |       |       |            |   404253.19 |  75
 Books                                              | fiction                                            | scholarunivamalg #2                                |                |        |       |       |            |   864714.64 |  20
 Books                                              | fiction                                            | scholarunivamalg #6                                |                |        |       |       |            |   366169.48 |  86
 Books                                              | fiction                                            | scholarunivamalg #8                                |                |        |       |       |            |   780544.94 |  21
 Books                                              | fiction                                            |                                                    |                |        |       |       |            |  3414492.30 |   5
 Books                                              | history                                            | scholarmaxi #10                                    |                |        |       |       |            |   610907.88 |  33
 Books                                              | history                                            | scholarmaxi #12                                    |                |        |       |       |            |   514826.54 |  52
 Books                                              | history                                            | scholarmaxi #2                                     |                |        |       |       |            |   964999.59 |  18
 Books                                              | history                                            | scholarmaxi #6                                     |                |        |       |       |            |   478028.88 |  61
 Books                                              | history                                            | scholarmaxi #8                                     |                |        |       |       |            |   485738.85 |  59
 Books                                              | history                                            |                                                    |                |        |       |       |            |  3441606.41 |   4
 Books                                              | home repair                                        | importounivamalg #10                               |                |        |       |       |            |   491701.95 |  55
 Books                                              | home repair                                        | importounivamalg #12                               |                |        |       |       |            |   298260.13 | 100
 Books                                              | home repair                                        | importounivamalg #2                                |                |        |       |       |            |   717602.91 |  23
 Books                                              | home repair                                        | importounivamalg #4                                |                |        |       |       |            |   419094.79 |  71
 Books                                              | home repair                                        | importounivamalg #8                                |                |        |       |       |            |   891955.81 |  19
 Books                                              | home repair                                        |                                                    |                |        |       |       |            |  3317132.49 |   7
 Books                                              | mystery                                            | corpunivamalg #10                                  |                |        |       |       |            |   393991.13 |  78
 Books                                              | mystery                                            | corpunivamalg #12                                  |                |        |       |       |            |   405188.85 |  74
 Books                                              | mystery                                            | corpunivamalg #2                                   |                |        |       |       |            |   350386.15 |  92
 Books                                              | mystery                                            | corpunivamalg #4                                   |                |        |       |       |            |   304702.22 |  99
 Books                                              | mystery                                            | corpunivamalg #6                                   |                |        |       |       |            |   358656.09 |  89
 Books                                              | mystery                                            | corpunivamalg #8                                   |                |        |       |       |            |   312570.76 |  98
 Books                                              | mystery                                            |                                                    |                |        |       |       |            |  2356684.79 |  16
 Books                                              | parenting                                          | corpmaxi #10                                       |                |        |       |       |            |   606138.50 |  36
 Books                                              | parenting                                          | corpmaxi #12                                       |                |        |       |       |            |   336988.18 |  95
 Books                                              | parenting                                          | corpmaxi #2                                        |                |        |       |       |            |   402857.83 |  77
 Books                                              | parenting                                          | corpmaxi #4                                        |                |        |       |       |            |   633136.15 |  29
 Books                                              | parenting                                          | corpmaxi #6                                        |                |        |       |       |            |   642375.52 |  28
 Books                                              | parenting                                          | corpmaxi #8                                        |                |        |       |       |            |   339847.73 |  94
 Books                                              | parenting                                          |                                                    |                |        |       |       |            |  3108379.76 |   9
 Books                                              | reference                                          | brandmaxi #10                                      |                |        |       |       |            |   469610.03 |  62
 Books                                              | reference                                          | brandmaxi #12                                      |                |        |       |       |            |   442126.51 |  68
 Books                                              | reference                                          | brandmaxi #2                                       |                |        |       |       |            |   460155.69 |  63
 Books                                              | reference                                          | brandmaxi #4                                       |                |        |       |       |            |   727841.54 |  22
 Books                                              | reference                                          | brandmaxi #6                                       |                |        |       |       |            |   431835.67 |  69
 Books                                              | reference                                          | brandmaxi #8                                       |                |        |       |       |            |   685644.65 |  25
 Books                                              | reference                                          |                                                    |                |        |       |       |            |  3531388.72 |   3
 Books                                              | romance                                            | namelessmaxi #10                                   |                |        |       |       |            |   386060.93 |  81
 Books                                              | romance                                            | namelessmaxi #12                                   |                |        |       |       |            |   482940.15 |  60
 Books                                              | romance                                            | namelessmaxi #2                                    |                |        |       |       |            |   649040.39 |  27
 Books                                              | romance                                            | namelessmaxi #4                                    |                |        |       |       |            |   650217.26 |  26
 Books                                              | romance                                            | namelessmaxi #6                                    |                |        |       |       |            |   491358.50 |  56
 Books                                              | romance                                            | namelessmaxi #8                                    |                |        |       |       |            |   444752.33 |  67
 Books                                              | romance                                            |                                                    |                |        |       |       |            |  3322082.42 |   6
 Books                                              | science                                            | maximaxi #10                                       |                |        |       |       |            |   448279.28 |  66
 Books                                              | science                                            | maximaxi #2                                        |                |        |       |       |            |   452807.03 |  65
 Books                                              | science                                            | maximaxi #4                                        |                |        |       |       |            |   324116.60 |  97
 Books                                              | science                                            | maximaxi #6                                        |                |        |       |       |            |   563982.17 |  44
 Books                                              | science                                            | maximaxi #8                                        |                |        |       |       |            |   563616.39 |  46
 Books                                              | science                                            |                                                    |                |        |       |       |            |  2691057.07 |  13
 Books                                              | self-help                                          | exportiunivamalg #10                               |                |        |       |       |            |   617367.91 |  32
 Books                                              | self-help                                          | exportiunivamalg #2                                |                |        |       |       |            |   619333.95 |  31
 Books                                              | self-help                                          | exportiunivamalg #4                                |                |        |       |       |            |   393749.30 |  79
