 brand_id |                       brand                        | t_hour | t_minute | ext_price 
----------+----------------------------------------------------+--------+----------+-----------
  2004002 | edu packimporto #2                                 |      9 |       41 |          
  4004002 | edu packedu pack #2                                |     19 |        3 |          
  5003001 | edu packedu pack #1                                |     18 |        6 |          
  5003002 | exportischolar #2                                  |     18 |       45 |          
  9005003 | edu packexporti #2                                 |      8 |       33 |          
 10004001 | edu packmaxi #5                                    |      9 |       32 |          
 10014011 | edu packamalgamalg #11                             |     19 |       16 |          
  8016004 | corpmaxi #4                                        |      7 |       10 |  18446.72
 10009008 | maxiunivamalg #8                                   |      7 |       28 |  14173.32
  3003001 | amalgmaxi #10                                      |      9 |       53 |  13966.11
  9011003 | amalgamalg #2                                      |      7 |       29 |  13786.05
  1002002 | importoamalg #2                                    |      6 |       59 |  13613.18
  5003001 | exportischolar #1                                  |      7 |       55 |  12546.96
  1002002 | importoamalg #2                                    |     18 |       17 |  11136.14
  5004001 | amalgamalg #2                                      |      8 |       42 |  11061.96
  3003002 | exportiexporti #2                                  |      8 |       36 |  10553.20
  4001001 | amalgedu pack #1                                   |     18 |       53 |  10195.92
  9014003 | scholarunivamalg #9                                |      8 |       24 |  10183.50
  4001002 | amalgedu pack #2                                   |      8 |       10 |  10146.08
  7001005 | importoedu pack #1                                 |     17 |       43 |   9738.20
  4004002 | edu packedu pack #2                                |      9 |       51 |   9624.26
  4003001 | exportiedu pack #1                                 |      7 |       20 |   9402.53
  3002001 | importoexporti #1                                  |     19 |        2 |   9238.52
  5002002 | importoscholar #2                                  |      9 |       23 |   9223.76
  1001002 | amalgamalg #2                                      |     17 |       27 |   9201.60
 10014011 | edu packamalgamalg #11                             |     18 |       33 |   9006.48
  2001002 | amalgimporto #2                                    |     17 |       42 |   8901.34
  2004001 | edu packimporto #1                                 |      9 |       47 |   8695.46
  4001001 | importoscholar #1                                  |     18 |       56 |   8501.57
  7016005 | corpnameless #5                                    |      8 |       59 |   8436.60
  1004001 | edu packamalg #1                                   |     17 |       58 |   8333.66
  2004001 | edu packexporti #2                                 |      6 |       39 |   8225.80
  7012005 | edu packedu pack #1                                |     18 |        3 |   8219.97
  4001002 | amalgedu pack #2                                   |      7 |       18 |   8144.72
  7004010 | edu packbrand #10                                  |     18 |       45 |   7918.02
  5002002 | importoscholar #2                                  |     18 |        5 |   7854.94
  2004001 | edu packexporti #2                                 |      8 |       38 |   7467.68
  2003002 | exportiimporto #2                                  |     18 |       10 |   7407.20
 10012007 | exporticorp #3                                     |     17 |       18 |   7183.32
  9012008 | importounivamalg #8                                |     19 |       10 |   7166.28
  4001002 | amalgedu pack #2                                   |      9 |       46 |   7163.90
  3001002 | amalgexporti #2                                    |     18 |       35 |   7114.12
  4004002 | edu packedu pack #2                                |     19 |       36 |   7047.04
 10012016 | amalgimporto #2                                    |     18 |       49 |   6819.55
  3002002 | importoimporto #1                                  |     19 |        2 |   6795.36
  8015002 | edu packexporti #1                                 |     19 |       33 |   6782.15
  3001002 | amalgexporti #2                                    |     19 |       16 |   6313.05
 10008012 | namelessunivamalg #12                              |     18 |       55 |   6219.64
  3003001 | amalgmaxi #10                                      |      9 |        5 |   6102.27
  8015001 | importoamalg #1                                    |     17 |       43 |   6080.86
 10012007 | exporticorp #3                                     |     19 |        4 |   6066.76
  5003001 | exportischolar #1                                  |      9 |       50 |   6048.90
  1003002 | exportiamalg #2                                    |     18 |       13 |   5946.60
  6015006 | scholarbrand #6                                    |     19 |       34 |   5859.00
  1003002 | exportiamalg #2                                    |      7 |       26 |   5853.00
  6015006 | scholarbrand #6                                    |      7 |       53 |   5783.66
  3003002 | exportiexporti #2                                  |      8 |        9 |   5724.66
  1002002 | namelessbrand #7                                   |     17 |       44 |   5684.25
  5003002 | exportischolar #2                                  |      7 |        9 |   5620.28
  6011008 | amalgbrand #8                                      |     17 |       46 |   5584.17
  1002001 | importoamalg #1                                    |      9 |       23 |   5525.52
  9008002 | namelessmaxi #2                                    |     19 |        9 |   5482.29
  7009010 | maxibrand #10                                      |     18 |       49 |   5469.66
  1004002 | importoedu pack #1                                 |      8 |       36 |   5365.44
  7004009 | edu packbrand #9                                   |     19 |       59 |   5253.12
 10012004 | importoamalgamalg #4                               |      8 |       29 |   5204.16
  2004001 | edu packexporti #2                                 |      6 |       31 |   5173.51
  4001001 | amalgedu pack #1                                   |     17 |       25 |   5161.92
  3002002 | importoexporti #2                                  |      8 |       14 |   5079.60
  4003002 | exportiedu pack #2                                 |      9 |       14 |   5032.96
  2002001 | edu packbrand #2                                   |     18 |       57 |   4997.89
  6009005 | maxicorp #5                                        |     19 |       16 |   4982.22
  8006005 | corpnameless #5                                    |     19 |       53 |   4892.56
  1002002 | importoamalg #2                                    |      9 |        6 |   4846.94
  7001005 | importoedu pack #1                                 |     17 |        4 |   4812.12
  3003001 | exportiexporti #1                                  |     17 |       46 |   4772.88
  1004002 | importoedu pack #1                                 |     17 |       31 |   4742.81
  2001002 | amalgimporto #2                                    |     17 |       14 |   4698.31
