 channel |      col_name       | d_year | d_qoy |                     i_category                     | sales_cnt | sales_amt 
---------+---------------------+--------+-------+----------------------------------------------------+-----------+-----------
 catalog | cs_bill_customer_sk |   1998 |     1 | Books                                              |         5 |   1840.20
 catalog | cs_bill_customer_sk |   1998 |     1 | Children                                           |         3 |   1757.80
 catalog | cs_bill_customer_sk |   1998 |     1 | Electronics                                        |         5 |  25545.88
 catalog | cs_bill_customer_sk |   1998 |     1 | Home                                               |         6 |   7012.12
 catalog | cs_bill_customer_sk |   1998 |     1 | Jewelry                                            |         6 |  10084.80
 catalog | cs_bill_customer_sk |   1998 |     1 | Men                                                |         6 |  15011.52
 catalog | cs_bill_customer_sk |   1998 |     1 | Music                                              |         5 |   2982.90
 catalog | cs_bill_customer_sk |   1998 |     1 | Shoes                                              |         5 |   7044.89
 catalog | cs_bill_customer_sk |   1998 |     1 | Sports                                             |         2 |   8196.61
 catalog | cs_bill_customer_sk |   1998 |     1 | Women                                              |         7 |   9956.92
 catalog | cs_bill_customer_sk |   1998 |     2 | Books                                              |         1 |   1540.36
 catalog | cs_bill_customer_sk |   1998 |     2 | Children                                           |         5 |   6033.14
 catalog | cs_bill_customer_sk |   1998 |     2 | Electronics                                        |         8 |   9650.99
 catalog | cs_bill_customer_sk |   1998 |     2 | Home                                               |         5 |    713.58
 catalog | cs_bill_customer_sk |   1998 |     2 | Jewelry                                            |         6 |  12173.16
 catalog | cs_bill_customer_sk |   1998 |     2 | Men                                                |         5 |    270.08
 catalog | cs_bill_customer_sk |   1998 |     2 | Music                                              |         6 |  13195.12
 catalog | cs_bill_customer_sk |   1998 |     2 | Shoes                                              |         5 |    139.65
 catalog | cs_bill_customer_sk |   1998 |     2 | Sports                                             |         2 |   8136.94
 catalog | cs_bill_customer_sk |   1998 |     2 | Women                                              |         7 |  12789.31
 catalog | cs_bill_customer_sk |   1998 |     3 | Books                                              |        10 |  17620.94
 catalog | cs_bill_customer_sk |   1998 |     3 | Children                                           |        11 |   9966.85
 catalog | cs_bill_customer_sk |   1998 |     3 | Electronics                                        |         6 |   1338.69
 catalog | cs_bill_customer_sk |   1998 |     3 | Home                                               |         8 |  12100.28
 catalog | cs_bill_customer_sk |   1998 |     3 | Jewelry                                            |         5 |   1383.96
 catalog | cs_bill_customer_sk |   1998 |     3 | Men                                                |        15 |  20926.20
 catalog | cs_bill_customer_sk |   1998 |     3 | Music                                              |        10 |   6843.50
 catalog | cs_bill_customer_sk |   1998 |     3 | Shoes                                              |         9 |  37217.54
 catalog | cs_bill_customer_sk |   1998 |     3 | Sports                                             |         8 |   3335.48
 catalog | cs_bill_customer_sk |   1998 |     3 | Women                                              |        11 |   6462.13
 catalog | cs_bill_customer_sk |   1998 |     4 | Books                                              |        10 |  13667.88
 catalog | cs_bill_customer_sk |   1998 |     4 | Children                                           |        24 |  51930.12
 catalog | cs_bill_customer_sk |   1998 |     4 | Electronics                                        |        17 |  15492.97
 catalog | cs_bill_customer_sk |   1998 |     4 | Home                                               |        16 |  10178.79
 catalog | cs_bill_customer_sk |   1998 |     4 | Jewelry                                            |         8 |   7305.81
 catalog | cs_bill_customer_sk |   1998 |     4 | Men                                                |        18 |  39331.24
 catalog | cs_bill_customer_sk |   1998 |     4 | Music                                              |        13 |  18624.19
 catalog | cs_bill_customer_sk |   1998 |     4 | Shoes                                              |        13 |  17576.25
 catalog | cs_bill_customer_sk |   1998 |     4 | Sports                                             |        17 |   6521.64
 catalog | cs_bill_customer_sk |   1998 |     4 | Women                                              |        13 |   5747.71
 catalog | cs_bill_customer_sk |   1999 |     1 | Books                                              |         8 |  25890.26
 catalog | cs_bill_customer_sk |   1999 |     1 | Children                                           |         6 |   3497.34
 catalog | cs_bill_customer_sk |   1999 |     1 | Electronics                                        |         2 |   2706.24
 catalog | cs_bill_customer_sk |   1999 |     1 | Home                                               |         2 |          
