     channel     | id |    sales     |  returns   |    profit    
-----------------+----+--------------+------------+--------------
 catalog channel |  1 |  61141993.35 |  967333.60 |  -6140416.20
 catalog channel |  2 |  72466386.45 |  967333.60 |  -8272067.60
 catalog channel |  5 |  64704700.55 |  967333.60 |  -6682935.80
 catalog channel |    |    254550.20 |  967333.60 |   -582860.30
 catalog channel |    | 198567630.55 | 3869334.40 | -21678279.90
 store channel   |  1 |  10230586.44 |  277063.84 |  -4568735.67
 store channel   |  2 |   8495588.33 |  259324.96 |  -3685932.03
 store channel   |  4 |   8728883.05 |  254877.68 |  -3800525.09
 store channel   |  7 |   9054594.79 |  227589.21 |  -4154985.83
 store channel   |  8 |   9363318.56 |  185417.14 |  -3953897.40
 store channel   | 10 |   9433443.77 |  263039.05 |  -4413890.89
 store channel   |    |  55306414.94 | 1467311.88 | -24577966.91
 web channel     |  1 |    590401.89 |   13477.18 |   -158664.24
 web channel     |  2 |    663064.83 |   41495.27 |    -97419.86
 web channel     |  5 |    684232.85 |   10794.54 |    -91912.32
 web channel     |  7 |    685302.75 |   23662.70 |   -118061.03
 web channel     |  8 |    631512.76 |    5399.94 |   -108743.95
 web channel     | 11 |    668300.53 |    3053.23 |    -15509.86
 web channel     | 13 |    793217.75 |   19834.99 |    -59111.06
 web channel     | 14 |    722336.02 |   36565.51 |    -47108.69
 web channel     | 17 |    595081.51 |   24357.12 |   -146262.76
 web channel     | 19 |    724124.32 |   16499.88 |    -23171.86
 web channel     | 20 |    743326.93 |   20876.75 |    -29374.42
 web channel     | 23 |    652392.41 |    4799.68 |    -56357.24
 web channel     | 25 |    649914.52 |   27791.54 |   -125453.17
 web channel     | 26 |    701461.76 |   24488.70 |   -100821.32
 web channel     | 29 |    706609.30 |    5893.20 |    -87229.37
 web channel     | 31 |    669209.55 |    9932.22 |   -117125.84
 web channel     | 32 |    605643.48 |    8085.77 |    -80428.74
 web channel     | 35 |    703391.99 |   14576.64 |    -94964.40
 web channel     | 37 |    608649.45 |   17761.84 |    -67069.17
 web channel     | 38 |    614611.55 |   30112.94 |    -76727.80
 web channel     | 41 |    717957.81 |   11850.21 |    -79725.28
 web channel     | 43 |    605593.19 |   10990.88 |    -94193.62
 web channel     | 44 |    641077.20 |   11267.61 |   -142106.05
 web channel     | 47 |    657776.91 |   20109.80 |    -94091.73
 web channel     | 49 |    655984.97 |   34125.29 |   -132031.20
 web channel     | 50 |    658612.84 |   12308.90 |   -104867.58
 web channel     | 53 |    662733.62 |     240.53 |    -86165.98
 web channel     | 55 |    804990.68 |   23593.26 |    -58808.51
 web channel     | 56 |    649192.78 |   30391.14 |   -148191.35
 web channel     | 59 |    646187.90 |   10213.95 |   -154740.10
 web channel     |    |  20112894.05 |  524551.21 |  -2796438.50
                 |    | 273986939.54 | 5861197.49 | -49052685.31
(44 rows)

