 ss_customer_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price 
----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------
          11543 |  0.00 |        39 |                73.75 |             74.75 |             75 |                     59.27 |                  98.46
          11703 |  0.00 |        26 |                89.19 |              1.70 |             94 |                     39.32 |                  94.07
          13182 |  0.00 |        12 |                40.21 |             18.57 |             44 |                     15.00 |                  13.16
          15515 |  3.00 |        86 |                 6.04 |              7.16 |             27 |                     58.77 |                 128.52
          18783 |  0.00 |        12 |                74.05 |             69.89 |             15 |                     17.96 |                   3.08
          20300 |  1.00 |        76 |                90.13 |             47.58 |             68 |                     52.93 |                  19.05
          20975 |  0.00 |        20 |                56.31 |              1.01 |             54 |                     75.98 |                  46.49
          23076 |  0.00 |         1 |                59.48 |             54.91 |             17 |                     29.48 |                  35.09
          29118 |  0.00 |        14 |                52.60 |             18.41 |             76 |                     68.23 |                  62.96
          30976 |  0.00 |         1 |                67.41 |             72.37 |              9 |                     24.79 |                  15.92
          35558 |  0.00 |        15 |                91.04 |             91.63 |             77 |                     45.48 |                  40.42
          35873 |  0.00 |         7 |                 9.80 |              3.62 |             96 |                     96.23 |                  33.15
          36728 |  0.00 |        64 |                61.73 |             41.38 |             86 |                     67.30 |                  33.52
          37166 |  0.00 |        29 |                87.55 |            111.30 |             51 |                     53.72 |                  65.69
          38574 |  2.00 |        77 |                78.21 |             92.28 |             27 |                     82.34 |                 110.41
          45668 |  0.00 |        26 |                96.44 |            117.57 |             83 |                      3.14 |                   3.89
          46629 |  1.00 |        57 |                52.62 |             58.89 |             38 |                     13.18 |                  29.12
          46806 |  0.00 |        38 |                49.22 |             37.00 |             63 |                     10.38 |                   8.51
          46981 |  0.00 |        66 |                70.47 |             68.83 |             94 |                     74.13 |                  44.12
          49099 |  2.00 |        16 |                 4.71 |              5.48 |              7 |                     45.55 |                  16.44
          50579 |  1.00 |        31 |                26.57 |             14.45 |             24 |                     60.76 |                  43.99
          52532 |  2.00 |        66 |                92.04 |            145.14 |             28 |                     24.52 |                  16.68
          52700 |  0.00 |        36 |                91.60 |             67.26 |             95 |                     51.88 |                  44.87
          55725 |  0.00 |        61 |                91.31 |            131.27 |             87 |                      5.64 |                   5.92
          56894 |  0.00 |        86 |                38.58 |             13.12 |             89 |                      8.42 |                  11.70
          58117 |  0.00 |        58 |                15.32 |             11.94 |             92 |                     13.69 |                   0.00
          60237 |  0.00 |        40 |                75.08 |             61.43 |             44 |                     81.00 |                 105.30
          60296 |  0.00 |         6 |                31.19 |             41.63 |             82 |                     40.94 |                   8.38
          61897 |  0.00 |        33 |                85.49 |             22.56 |             88 |                     10.61 |                   0.37
          64997 |  1.00 |        58 |                78.88 |            134.50 |             50 |                     83.32 |                  71.15
          66206 |  1.00 |        27 |                84.83 |             10.99 |             19 |                     18.15 |                  17.02
          77809 |  0.00 |        17 |                28.92 |             30.69 |            100 |                     68.51 |                  42.00
          80472 |  0.00 |         9 |                98.93 |              6.88 |             61 |                     13.21 |                  17.04
          81978 |  0.00 |        87 |                68.40 |             13.90 |             98 |                     87.47 |                 205.46
          81978 |  0.00 |        12 |                58.24 |             28.10 |             20 |                     63.19 |                 150.07
          83256 |  1.00 |        94 |                57.76 |             22.02 |             55 |                     84.60 |                  63.78
          83438 |  1.00 |        34 |                31.82 |             23.98 |             21 |                      7.60 |                   4.57
          85713 |  0.00 |        71 |                48.61 |             59.10 |             81 |                     74.83 |                  53.42
          85823 |  0.00 |         6 |                65.99 |             60.71 |             26 |                     28.91 |                  31.08
          87064 |  2.00 |        15 |                54.17 |             33.27 |              6 |                     58.75 |                  65.98
          92305 |  1.00 |        82 |                17.46 |              0.20 |             44 |                     87.04 |                  88.32
          92594 |  1.00 |        51 |                40.94 |             27.88 |             47 |                     35.42 |                  29.00
          93242 |  0.00 |        35 |                26.67 |             27.73 |             87 |                     38.41 |                  46.82
          96374 |  0.00 |         4 |                 8.48 |              3.28 |             74 |                     59.08 |                 149.64
          96552 |  1.00 |        90 |                      |              9.86 |             68 |                     54.71 |                 103.52
(45 rows)

