     channel     |              id              |  sales   | returns |  profit   
-----------------+------------------------------+----------+---------+-----------
 catalog channel | catalog_pageAAAAAAAAAAPBAAAA | 11303.34 | 1413.84 |  -2010.86
 catalog channel | catalog_pageAAAAAAAAABPBAAAA | 34098.09 |       0 |   7165.09
 catalog channel | catalog_pageAAAAAAAAACCCAAAA |  3996.95 |       0 |  -1125.10
 catalog channel | catalog_pageAAAAAAAAACPBAAAA | 15494.66 |       0 |  -7423.71
 catalog channel | catalog_pageAAAAAAAAADPBAAAA | 15743.98 |       0 |   2780.53
 catalog channel | catalog_pageAAAAAAAAAEPBAAAA |  3154.36 |    7.34 |  -4244.89
 catalog channel | catalog_pageAAAAAAAAAFPBAAAA |   958.54 |       0 |  -3430.28
 catalog channel | catalog_pageAAAAAAAAAHPBAAAA |  4759.65 |       0 |   1859.76
 catalog channel | catalog_pageAAAAAAAAAIPBAAAA |  5167.77 |       0 |   -528.86
 catalog channel | catalog_pageAAAAAAAAAJBCAAAA |  3400.38 |  163.56 |    371.18
 catalog channel | catalog_pageAAAAAAAAAJPBAAAA |  4685.79 |       0 |  -5497.41
 catalog channel | catalog_pageAAAAAAAAAKBCAAAA |   290.40 |       0 |    121.44
 catalog channel | catalog_pageAAAAAAAAAKPBAAAA | 22653.29 |       0 |   5548.70
 catalog channel | catalog_pageAAAAAAAAALBCAAAA |  9081.79 |       0 |  -4308.23
 catalog channel | catalog_pageAAAAAAAAAMBCAAAA |  1887.17 |       0 |  -3221.02
 catalog channel | catalog_pageAAAAAAAAANOBAAAA | 16368.88 | 9491.89 |  -1248.69
 catalog channel | catalog_pageAAAAAAAAAOBCAAAA |   383.15 |       0 |  -4653.89
 catalog channel | catalog_pageAAAAAAAAAOOBAAAA |    21.63 |       0 |    -50.45
 catalog channel | catalog_pageAAAAAAAAAPOBAAAA |  1811.86 |       0 |  -1061.23
 catalog channel | catalog_pageAAAAAAAABAPBAAAA |  3986.73 |       0 |  -1899.85
 catalog channel | catalog_pageAAAAAAAABBCCAAAA |  2458.20 |       0 |    814.98
 catalog channel | catalog_pageAAAAAAAABBPBAAAA |  3366.67 |  146.88 |  -3261.53
 catalog channel | catalog_pageAAAAAAAABCPBAAAA | 19959.84 |       0 |   8642.31
 catalog channel | catalog_pageAAAAAAAABDPBAAAA | 18129.18 |  138.88 |  -4022.67
 catalog channel | catalog_pageAAAAAAAABEPBAAAA |  7488.85 |       0 |    855.47
 catalog channel | catalog_pageAAAAAAAABFPBAAAA |    36.33 |       0 |     -3.00
 catalog channel | catalog_pageAAAAAAAABGBCAAAA |  1731.60 |       0 |   -662.58
 catalog channel | catalog_pageAAAAAAAABGPBAAAA | 21207.52 |       0 |   9947.98
 catalog channel | catalog_pageAAAAAAAABHBCAAAA |  2601.90 |       0 |   -689.40
 catalog channel | catalog_pageAAAAAAAABHPBAAAA | 10732.68 |       0 |   5234.04
 catalog channel | catalog_pageAAAAAAAABIBCAAAA | 11447.33 |       0 |   -952.18
 catalog channel | catalog_pageAAAAAAAABIPBAAAA |   937.80 |       0 |  -1835.10
 catalog channel | catalog_pageAAAAAAAABJBCAAAA | 21961.86 |       0 |   5319.80
 catalog channel | catalog_pageAAAAAAAABJPBAAAA | 16610.87 |       0 |   7312.23
 catalog channel | catalog_pageAAAAAAAABKBCAAAA | 12431.68 |       0 |  -6996.81
 catalog channel | catalog_pageAAAAAAAABKPBAAAA |   200.56 |       0 |  -5399.44
 catalog channel | catalog_pageAAAAAAAABLBCAAAA |  9502.80 |       0 |   3830.01
 catalog channel | catalog_pageAAAAAAAABNBCAAAA | 15165.51 |       0 |   1066.23
 catalog channel | catalog_pageAAAAAAAABNOBAAAA | 30955.32 |  842.76 |   2247.80
 catalog channel | catalog_pageAAAAAAAABOOBAAAA | 14164.83 |       0 |   4920.88
 catalog channel | catalog_pageAAAAAAAABPOBAAAA |  4876.40 |       0 |   -261.42
 catalog channel | catalog_pageAAAAAAAACAPBAAAA | 14263.54 |       0 |   3499.44
 catalog channel | catalog_pageAAAAAAAACBPBAAAA |  3491.61 | 2150.04 |  -6765.74
 catalog channel | catalog_pageAAAAAAAACCPBAAAA |  4136.61 |   15.39 |  -4087.15
 catalog channel | catalog_pageAAAAAAAACDPBAAAA |  7338.13 |       0 |  -1258.87
 catalog channel | catalog_pageAAAAAAAACEPBAAAA |  6748.59 |       0 |   -118.32
 catalog channel | catalog_pageAAAAAAAACFPBAAAA |  2462.73 |       0 |  -3175.84
 catalog channel | catalog_pageAAAAAAAACGBCAAAA |  3993.86 |   84.41 |  -4789.54
 catalog channel | catalog_pageAAAAAAAACGPBAAAA |   181.39 |       0 |   -154.70
 catalog channel | catalog_pageAAAAAAAACHBCAAAA | 13348.92 |       0 |    948.22
 catalog channel | catalog_pageAAAAAAAACHPBAAAA | 10389.29 |       0 |  -3867.91
 catalog channel | catalog_pageAAAAAAAACIBCAAAA |  3305.84 |       0 |   -967.17
 catalog channel | catalog_pageAAAAAAAACIPBAAAA |  1734.84 |       0 |  -6356.29
 catalog channel | catalog_pageAAAAAAAACJPBAAAA |  1992.68 |       0 |  -2378.87
 catalog channel | catalog_pageAAAAAAAACKBCAAAA |     0.00 |       0 |   -614.22
 catalog channel | catalog_pageAAAAAAAACKPBAAAA |  7274.64 | 3296.54 |   1346.10
 catalog channel | catalog_pageAAAAAAAACLBCAAAA |  9165.86 |       0 |   1812.47
 catalog channel | catalog_pageAAAAAAAACNBCAAAA |  7773.04 | 1129.65 |      7.19
 catalog channel | catalog_pageAAAAAAAACNOBAAAA |  5383.58 |  213.96 |  -1860.68
 catalog channel | catalog_pageAAAAAAAACOOBAAAA | 20290.41 | 8088.08 |  -4568.02
 catalog channel | catalog_pageAAAAAAAACPBCAAAA |  3446.50 |       0 |   1180.35
 catalog channel | catalog_pageAAAAAAAACPOBAAAA | 22427.85 |       0 |  -4435.39
 catalog channel | catalog_pageAAAAAAAADAPBAAAA | 13962.95 |       0 |   1402.32
 catalog channel | catalog_pageAAAAAAAADBCCAAAA |   338.54 |       0 |     90.42
 catalog channel | catalog_pageAAAAAAAADBPBAAAA |  2100.69 |       0 |    406.90
 catalog channel | catalog_pageAAAAAAAADCPBAAAA |  8629.32 |  128.56 |  -1524.19
 catalog channel | catalog_pageAAAAAAAADDPBAAAA | 19164.78 | 1358.80 |   4163.50
 catalog channel | catalog_pageAAAAAAAADEPBAAAA |  4476.75 |       0 |   -937.17
 catalog channel | catalog_pageAAAAAAAADFPBAAAA |  6425.20 |       0 |  -4751.86
 catalog channel | catalog_pageAAAAAAAADHBCAAAA | 23177.26 | 5545.15 | -10813.01
 catalog channel | catalog_pageAAAAAAAADHPBAAAA |  1224.52 |       0 |    665.61
 catalog channel | catalog_pageAAAAAAAADIBCAAAA |  1571.94 |       0 |  -3964.85
 catalog channel | catalog_pageAAAAAAAADIPBAAAA | 26226.81 |       0 |  -3453.17
