                     i_category                     |                      i_class                       |                      i_brand                       | s_store_name | s_company_name | d_moy | sum_sales |   avg_monthly_sales   
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+--------------+----------------+-------+-----------+-----------------------
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ought        | Unknown        |     2 |   1293.56 | 3725.9225000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | able         | Unknown        |     3 |   1183.41 | 3353.7900000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | ought        | Unknown        |     3 |   1299.72 | 3388.1425000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | eing         | Unknown        |     5 |   1553.71 | 3621.9183333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | bar          | Unknown        |     2 |   1537.68 | 3582.1550000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | bar          | Unknown        |     4 |   1607.92 | 3582.1550000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | eing         | Unknown        |     2 |   1718.05 | 3647.4458333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | able         | Unknown        |     6 |   1552.15 | 3475.7516666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | able         | Unknown        |     4 |   1561.43 | 3475.7516666666666667
 Men                                                | pants                                              | exportiimporto #2                                  | ation        | Unknown        |     2 |   1275.93 | 3181.3066666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ought        | Unknown        |     5 |   1628.70 | 3524.9508333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ought        | Unknown        |     5 |   1831.98 | 3725.9225000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ought        | Unknown        |     7 |   1659.45 | 3524.9508333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ation        | Unknown        |     2 |   1626.20 | 3489.8041666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ation        | Unknown        |     6 |   1528.68 | 3382.5458333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | able         | Unknown        |     6 |   1500.91 | 3353.7900000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ought        | Unknown        |     6 |   1886.18 | 3725.9225000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ought        | Unknown        |     6 |   1685.28 | 3524.9508333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | ation        | Unknown        |     4 |   1344.80 | 3181.3066666666666667
 Men                                                | pants                                              | exportiimporto #2                                  | ese          | Unknown        |     3 |   1637.35 | 3468.2283333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | eing         | Unknown        |     2 |   1706.04 | 3505.0083333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ese          | Unknown        |     4 |   1699.50 | 3494.9025000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | eing         | Unknown        |     6 |   1715.39 | 3505.0083333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | ation        | Unknown        |     3 |   1408.79 | 3181.3066666666666667
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ese          | Unknown        |     5 |   1722.88 | 3494.9025000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ought        | Unknown        |     2 |   1753.00 | 3524.9508333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | eing         | Unknown        |     3 |   1891.35 | 3621.9183333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ought        | Unknown        |     1 |   1995.42 | 3725.9225000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | ese          | Unknown        |     6 |   1767.64 | 3468.2283333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | eing         | Unknown        |     4 |   1976.14 | 3647.4458333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | bar          | Unknown        |     6 |   1920.00 | 3582.1550000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | able         | Unknown        |     2 |   1858.14 | 3505.4675000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | eing         | Unknown        |     4 |   1994.77 | 3621.9183333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ought        | Unknown        |     1 |   1897.94 | 3524.9508333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ese          | Unknown        |     2 |   1871.12 | 3494.9025000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | eing         | Unknown        |     5 |   1886.34 | 3505.0083333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | bar          | Unknown        |     7 |   1968.55 | 3582.1550000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | ought        | Unknown        |     6 |   1776.28 | 3388.1425000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | able         | Unknown        |     3 |   1899.60 | 3505.4675000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | able         | Unknown        |     7 |   1765.78 | 3353.7900000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | eing         | Unknown        |     4 |   1923.31 | 3505.0083333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | eing         | Unknown        |     5 |   2079.89 | 3647.4458333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ese          | Unknown        |     6 |   1932.33 | 3494.9025000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | able         | Unknown        |     4 |   1943.21 | 3505.4675000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | bar          | Unknown        |     3 |   1709.09 | 3264.9008333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | able         | Unknown        |     1 |   1924.97 | 3475.7516666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | bar          | Unknown        |     2 |   1752.89 | 3298.8966666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | bar          | Unknown        |     1 |   1759.98 | 3298.8966666666666667
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ation        | Unknown        |     6 |   1961.83 | 3489.8041666666666667
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ought        | Unknown        |     4 |   2205.59 | 3725.9225000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | bar          | Unknown        |     5 |   1785.16 | 3298.8966666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | able         | Unknown        |     3 |   1962.49 | 3475.7516666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ation        | Unknown        |     2 |   1875.42 | 3382.5458333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ese          | Unknown        |     5 |   1771.01 | 3272.5216666666666667
 Shoes                                              | womens                                             | amalgedu pack #2                                   | eing         | Unknown        |     6 |   2123.47 | 3621.9183333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | ese          | Unknown        |     4 |   1970.18 | 3468.2283333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ation        | Unknown        |     4 |   1996.47 | 3489.8041666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ation        | Unknown        |     5 |   1890.51 | 3382.5458333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | able         | Unknown        |     2 |   1988.69 | 3475.7516666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ation        | Unknown        |     3 |   1896.84 | 3382.5458333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | ought        | Unknown        |     2 |   1903.47 | 3388.1425000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | bar          | Unknown        |     1 |   1784.15 | 3264.9008333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | able         | Unknown        |     5 |   2025.59 | 3505.4675000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | bar          | Unknown        |     1 |   2119.31 | 3582.1550000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | eing         | Unknown        |     7 |   2209.11 | 3647.4458333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ought        | Unknown        |     3 |   2301.10 | 3725.9225000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ation        | Unknown        |     1 |   1958.11 | 3382.5458333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | ation        | Unknown        |     7 |   1770.51 | 3181.3066666666666667
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ation        | Unknown        |     5 |   2089.64 | 3489.8041666666666667
 Men                                                | pants                                              | exportiimporto #2                                  | able         | Unknown        |     1 |   2117.03 | 3505.4675000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | eing         | Unknown        |     7 |   2131.99 | 3505.0083333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | bar          | Unknown        |     3 |   2221.37 | 3582.1550000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | able         | Unknown        |     4 |   1996.74 | 3353.7900000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | able         | Unknown        |     5 |   2003.26 | 3353.7900000000000000
