# arm: c1  (GOOPG_RELSIZE_FALLBACK='unset'  analyze=0)
# started: 2026-07-30T12:43:08+09:00
# engine-id: 5a45a42d33ef58ff9de0bcf5f82aa6ccfb66ddd5 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=e3b0c44298fc
# engine-binary: on-disk=5b87cf4b53780639 (tmp/goopg-relsize-bin)
# per-query cap: 300s (external clamp 360s); restart per query; NO re-ANALYZE
# host: load0.28 0.64 2.14
query	secs	rows	status	peak_rss_kb	running_engine
Q1	6.79	4	ok	5274052	5b87cf4b53780639
Q2	4.69	455	ok	3096584	5b87cf4b53780639
Q3	13.83	11521	ok	10213356	5b87cf4b53780639
Q4	44.68	5	ok	8221476	5b87cf4b53780639
Q5	66.66	5	ok	11195380	5b87cf4b53780639
Q6	4.13	1	ok	5262524	5b87cf4b53780639
Q7	46.30	4	ok	11285060	5b87cf4b53780639
Q8	67.72	2	ok	11312852	5b87cf4b53780639
Q9	172.35	175	ok	11499684	5b87cf4b53780639
Q10	32.64	20501	ok	11287788	5b87cf4b53780639
Q11	3.46	819	ok	4255508	5b87cf4b53780639
Q12	62.14	2	ok	11335544	5b87cf4b53780639
Q13	12.73	35	ok	5637416	5b87cf4b53780639
Q14	5.38	1	ok	5435652	5b87cf4b53780639
Q15	36.41	1	ok	4240576	5b87cf4b53780639
Q16	1.61	18213	ok	2343964	5b87cf4b53780639
Q17	31.15	1	ok	5738164	5b87cf4b53780639
Q18	37.01	10	ok	11149388	5b87cf4b53780639
Q19	6.69	1	ok	4606032	5b87cf4b53780639
Q20	24.94	76	ok	5372104	5b87cf4b53780639
Q21	305		timeout	14164940	5b87cf4b53780639
Q22	12.52	7	ok	5584492	5b87cf4b53780639
# finished: 2026-07-30T13:00:55+09:00  wall=1067s
# engine-id at end: 5a45a42d33ef58ff9de0bcf5f82aa6ccfb66ddd5 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=e3b0c44298fc
