# arm: c2  (GOOPG_RELSIZE_FALLBACK='2'  analyze=0)
# started: 2026-07-30T13:01:13+09:00
# engine-id: 5a45a42d33ef58ff9de0bcf5f82aa6ccfb66ddd5 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=e3b0c44298fc
# engine-binary: on-disk=5b87cf4b53780639 (tmp/goopg-relsize-bin)
# per-query cap: 300s (external clamp 360s); restart per query; NO re-ANALYZE
# host: load8.16 7.50 5.16
query	secs	rows	status	peak_rss_kb	running_engine
Q1	6.56	4	ok	5272812	5b87cf4b53780639
Q2	4.42	455	ok	4473000	5b87cf4b53780639
Q3	13.75	11521	ok	10205188	5b87cf4b53780639
Q4	43.86	5	ok	6374728	5b87cf4b53780639
Q5	65.73	5	ok	11215704	5b87cf4b53780639
Q6	3.97	1	ok	5026732	5b87cf4b53780639
Q7	34.96	4	ok	10582852	5b87cf4b53780639
Q8	66.03	2	ok	11321224	5b87cf4b53780639
Q9	52.39	175	ok	11211264	5b87cf4b53780639
Q10	12.66	20501	ok	11021572	5b87cf4b53780639
Q11	2.07	819	ok	1582636	5b87cf4b53780639
Q12	18.12	2	ok	6314336	5b87cf4b53780639
Q13	12.44	35	ok	5466636	5b87cf4b53780639
Q14	5.81	1	ok	4518864	5b87cf4b53780639
Q15	36.33	1	ok	4255712	5b87cf4b53780639
Q16	1.68	18213	ok	2343756	5b87cf4b53780639
Q17	31.74	1	ok	4705048	5b87cf4b53780639
Q18	37.12	10	ok	11157528	5b87cf4b53780639
Q19	6.86	1	ok	4602116	5b87cf4b53780639
Q20	24.77	76	ok	3786488	5b87cf4b53780639
Q21	366		timeout	14475544	5b87cf4b53780639
Q22			server-fail		
# finished: 2026-07-30T13:17:22+09:00  wall=969s
# engine-id at end: 5a45a42d33ef58ff9de0bcf5f82aa6ccfb66ddd5 c47d4ed683a0ac63d56c7f755e70892a635f3a42  diff=e3b0c44298fc
