# TPC-DS SF0.5 row-count oracle — PostgreSQL 18.3 ground truth
# captured: 2026-07-27T11:47:40+09:00..12:07:12  source: bdef5be8 (data), commit at capture: b34ec7ec
# dataset: SF=1 TSVs, facts halved by key parity (see tpcds-sf05-regression.sh header)
# format: q|status|rows|secs   (secs are machine-specific; rows are the fixture)
# This file is GIT-TRACKED as a pinned fixture so other machines/CI can skip
# the ~20 min PG capture. Re-run 'oracle' only when the dataset or queries change.
1|OK|100|55
2|OK|2513|0
3|OK|31|0
4|TIMEOUT|0|632
5|OK|100|1
6|OK|37|70
7|OK|100|1
8|OK|0|0
9|OK|1|1
10|OK|0|12
11|OK|8|59
12|OK|100|0
13|OK|1|0
14|OK|200|18
15|OK|100|0
16|OK|1|0
17|OK|0|1
18|OK|100|0
19|OK|100|0
20|OK|100|0
21|OK|100|0
22|OK|100|2
23|OK|1|1
24|OK|0|0
25|OK|0|0
26|OK|100|0
27|OK|100|1
28|OK|1|1
29|OK|0|0
30|OK|31|3
31|OK|19|5
32|OK|1|0
33|OK|100|0
34|OK|187|0
35|OK|100|0
36|SKIP_QUERYGEN|0|0
37|OK|0|0
38|OK|1|1
39|OK|77|2
40|OK|100|0
41|OK|1|2
42|OK|10|0
43|OK|6|0
44|OK|10|0
45|OK|7|0
46|OK|100|0
47|OK|100|2
48|OK|1|1
49|OK|25|0
50|OK|6|0
51|OK|100|2
52|OK|100|1
53|OK|100|0
54|OK|0|9
55|OK|73|0
56|OK|100|1
57|OK|100|0
58|OK|0|0
59|OK|100|1
60|OK|100|0
61|OK|1|0
62|OK|100|0
63|OK|100|0
64|OK|2|1
65|OK|100|0
66|OK|5|0
67|OK|100|4
68|OK|100|0
69|OK|100|0
70|SKIP_QUERYGEN|0|0
71|OK|580|0
72|OK|100|0
73|OK|1|0
74|OK|7|260
75|OK|100|1
76|OK|100|0
77|OK|44|1
78|OK|45|1
79|OK|100|0
80|OK|100|0
81|OK|100|13
82|OK|0|0
83|OK|3|0
84|OK|6|0
85|OK|0|0
86|SKIP_QUERYGEN|0|0
87|OK|1|1
88|OK|1|1
89|OK|100|0
90|OK|1|0
91|OK|1|0
92|OK|1|0
93|OK|0|0
94|OK|1|0
95|OK|1|7
96|OK|1|0
97|OK|1|0
98|OK|2128|0
99|OK|90|0
