query,expected_rows,kind
Q1,100,pinned
Q2,2513,pinned
Q3,31,pinned
Q6,44,pinned
Q7,100,pinned
Q9,1,pinned
Q12,100,pinned
Q13,1,pinned
Q15,100,pinned
Q16,1,pinned
Q17,1,pinned
Q18,100,pinned
Q19,100,pinned
Q20,100,pinned
Q21,100,pinned
Q22,100,pinned
Q26,100,pinned
Q27,100,pinned
Q28,1,pinned
Q29,1,pinned
Q32,1,pinned
Q33,100,pinned
Q34,374,pinned
Q38,1,pinned
Q40,100,pinned
Q41,1,pinned
Q42,10,pinned
Q43,6,pinned
Q44,10,pinned
Q47,100,pinned
Q48,1,pinned
Q49,34,pinned
Q51,100,pinned
Q52,100,pinned
Q53,100,pinned
Q55,73,pinned
Q56,100,pinned
Q57,100,pinned
Q59,100,pinned
Q60,100,pinned
Q61,1,pinned
Q62,100,pinned
Q63,100,pinned
Q66,5,pinned
Q68,100,pinned
Q73,3,pinned
Q74,100,pinned
Q75,100,pinned
Q77,44,pinned
Q79,100,pinned
Q80,100,pinned
Q84,18,pinned
Q85,2,pinned
Q87,1,pinned
Q89,100,pinned
Q90,1,pinned
Q91,1,pinned
Q92,1,pinned
Q94,1,pinned
Q95,1,pinned
Q96,1,pinned
Q97,1,pinned
Q98,2531,pinned
Q99,90,pinned
