gc 60 @106.931s 0%: 0.19+18+0.19 ms clock, 3.1+0/74/121+3.1 ms cpu, 6816->6824->4017 MB, 8004 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 61 @112.234s 0%: 0.14+5.1+0.18 ms clock, 2.3+0.014/16/9.9+2.9 ms cpu, 6843->6850->2932 MB, 8036 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 62 @112.988s 0%: 0.14+5.7+0.20 ms clock, 2.2+0.016/20/20+3.3 ms cpu, 4994->5000->2932 MB, 5865 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 63 @113.756s 0%: 0.11+5.6+0.19 ms clock, 1.9+0.015/20/20+3.0 ms cpu, 4994->5001->2936 MB, 5865 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 64 @117.716s 0%: 0.12+2.9+0.18 ms clock, 2.0+0.011/9.0/9.0+2.9 ms cpu, 5860->5860->2898 MB, 5874 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 65 @122.468s 0%: 0.12+2.4+0.17 ms clock, 1.9+0.019/8.0/10+2.8 ms cpu, 5791->5792->2898 MB, 5798 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 66 @127.339s 0%: 0.12+2.2+0.041 ms clock, 1.9+0.018/7.5/10+0.66 ms cpu, 5791->5791->2901 MB, 5798 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 67 @132.246s 0%: 0.13+2.3+0.044 ms clock, 2.2+0.021/8.2/13+0.71 ms cpu, 5796->5796->2901 MB, 5803 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 68 @135.040s 0%: 0.13+4.1+0.18 ms clock, 2.0+0.019/7.0/13+3.0 ms cpu, 5795->5797->3130 MB, 5803 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 69 @138.331s 0%: 8.4+5.4+0.004 ms clock, 135+19/20/26+0.077 ms cpu, 6268->6268->3234 MB, 6268 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 70 @138.801s 0%: 23+7.7+0.20 ms clock, 382+0.48/27/37+3.2 ms cpu, 6464->6472->3836 MB, 6470 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 71 @140.907s 0%: 0.17+32+0.19 ms clock, 2.7+0.60/126/214+3.1 ms cpu, 7664->7676->6703 MB, 7674 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 72 @144.831s 0%: 0.14+36+0.19 ms clock, 2.2+1.3/143/243+3.0 ms cpu, 11471->11484->4656 MB, 11527 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 73 @148.463s 0%: 0.14+34+0.19 ms clock, 2.2+0.61/129/216+3.1 ms cpu, 9257->9281->4666 MB, 9313 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 74 @151.388s 0%: 0.10+32+0.19 ms clock, 1.6+1.7/128/217+3.1 ms cpu, 9273->9298->4668 MB, 9334 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 75 @153.648s 0%: 0.16+6.1+0.004 ms clock, 2.7+6.3/21/25+0.065 ms cpu, 9268->9275->2984 MB, 9338 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 76 @154.378s 0%: 0.16+5.0+0.066 ms clock, 2.6+0.33/17/24+1.0 ms cpu, 5954->5962->2969 MB, 5970 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 77 @155.343s 0%: 0.12+5.9+0.083 ms clock, 1.9+0.20/19/32+1.3 ms cpu, 5922->5927->3034 MB, 5939 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 78 @159.611s 0%: 0.14+7.1+0.022 ms clock, 2.2+0.012/27/69+0.35 ms cpu, 6053->6055->3016 MB, 6070 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 79 @164.985s 0%: 0.12+5.9+0.039 ms clock, 2.0+0.018/21/46+0.62 ms cpu, 6009->6010->3004 MB, 6034 MB goal, 0 MB stacks, 0 MB globals, 16 P
