gc 61 @116.781s 0%: 0.17+19+0.074 ms clock, 2.7+0.12/75/119+1.1 ms cpu, 7923->7931->4024 MB, 8001 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 62 @122.520s 0%: 0.11+4.0+0.19 ms clock, 1.8+0.56/14/16+3.0 ms cpu, 7990->7995->2938 MB, 8049 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 63 @123.604s 0%: 0.28+5.6+0.036 ms clock, 4.5+1.5/21/21+0.58 ms cpu, 5868->5875->2935 MB, 5878 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 64 @126.790s 0%: 0.16+3.3+0.030 ms clock, 2.6+0.019/9.6/9.0+0.48 ms cpu, 5858->5859->2899 MB, 5871 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 65 @131.841s 0%: 0.13+2.3+0.021 ms clock, 2.1+0.011/7.8/10+0.35 ms cpu, 5791->5792->2898 MB, 5799 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 66 @137.197s 0%: 0.13+3.6+0.040 ms clock, 2.1+0.026/9.9/9.7+0.64 ms cpu, 5791->5792->2901 MB, 5798 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 67 @142.313s 0%: 0.13+2.9+0.17 ms clock, 2.0+0.018/9.4/9.5+2.7 ms cpu, 5796->5798->2901 MB, 5804 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 68 @146.021s 0%: 0.13+2.0+0.002 ms clock, 2.1+0.40/6.1/10+0.047 ms cpu, 5798->5798->2979 MB, 5804 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 69 @149.853s 0%: 0.29+5.1+0.076 ms clock, 4.6+14/18/32+1.2 ms cpu, 5956->5969->3021 MB, 5959 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 70 @150.222s 0%: 28+188+0.18 ms clock, 449+2.1/106/18+3.0 ms cpu, 6013->6676->4276 MB, 6043 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 71 @151.873s 0%: 0.15+34+0.19 ms clock, 2.5+0/131/212+3.0 ms cpu, 7873->7886->4655 MB, 8553 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 72 @154.440s 0%: 0.21+32+0.058 ms clock, 3.4+0/129/234+0.92 ms cpu, 7930->7940->4653 MB, 9312 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 73 @157.088s 0%: 0.17+35+0.074 ms clock, 2.8+0.55/138/230+1.1 ms cpu, 7926->7948->4665 MB, 9308 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 74 @159.818s 0%: 0.21+33+0.062 ms clock, 3.4+0.028/131/239+1.0 ms cpu, 7945->7959->4657 MB, 9331 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 75 @162.104s 0%: 0.16+32+0.10 ms clock, 2.7+0.014/129/218+1.6 ms cpu, 7932->7955->4666 MB, 9315 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 76 @165.019s 0%: 0.14+39+0.12 ms clock, 2.3+0.99/157/258+1.9 ms cpu, 9273->9295->4665 MB, 9333 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 77 @167.077s 0%: 0.15+5.3+0.006 ms clock, 2.5+3.7/19/25+0.10 ms cpu, 9271->9277->2984 MB, 9332 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 78 @167.956s 0%: 0.14+5.4+0.004 ms clock, 2.2+0.75/20/31+0.069 ms cpu, 5954->5959->2966 MB, 5968 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 79 @171.162s 0%: 0.13+10+0.19 ms clock, 2.2+0.013/36/68+3.1 ms cpu, 5919->5922->3092 MB, 5934 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 80 @176.364s 0%: 0.14+3.5+0.039 ms clock, 2.2+0.018/12/25+0.63 ms cpu, 6165->6166->2941 MB, 6186 MB goal, 0 MB stacks, 0 MB globals, 16 P
