Category (Major),Sub-Category (Medium),Feature/Detail (Minor),Status,Notes / Design Decision
Wire Protocol,Message Data Types,Int16 / Int32 / String / Byte[n] (network byte order),implemented,
Wire Protocol,Startup Flow,StartupMessage (Int32 version / user / database / options / replication),implemented,
Wire Protocol,Startup Flow,SSLRequest (Int32 80877103),,Recognized but refused with 'N'; no TLS
Wire Protocol,Startup Flow,GSSENCRequest (Int32 80877104),,Recognized but refused with 'N'; no GSS encryption
Wire Protocol,Startup Flow,NegotiateProtocolVersion (v),,
Wire Protocol,Authentication,AuthenticationOk (R Int32 0),implemented,
Wire Protocol,Authentication,AuthenticationCleartextPassword (R Int32 3),implemented,
Wire Protocol,Authentication,AuthenticationMD5Password (R Int32 5 + salt),implemented,
Wire Protocol,Authentication,AuthenticationSASL (R Int32 10 + mechanisms),implemented,
Wire Protocol,Authentication,AuthenticationSASLContinue (R Int32 11),implemented,
Wire Protocol,Authentication,AuthenticationSASLFinal (R Int32 12),implemented,
Wire Protocol,Authentication,AuthenticationGSS / GSSContinue / SSPI,,
Wire Protocol,Authentication,SCRAM-SHA-256 authentication flow,implemented,
Wire Protocol,Authentication,PasswordMessage (p + String),implemented,
Wire Protocol,Authentication,SASLInitialResponse / SASLResponse,implemented,
Wire Protocol,Authentication,GSSResponse (p),,
Wire Protocol,Simple Query,Query message (Q + String),implemented,
Wire Protocol,Simple Query,RowDescription (T) -> DataRow (D)* -> CommandComplete (C),implemented,
Wire Protocol,Simple Query,EmptyQueryResponse (I),implemented,
Wire Protocol,Simple Query,ReadyForQuery (Z + txn status byte),implemented,
Wire Protocol,Simple Query,Multiple statements as implicit txn block,implemented,
Wire Protocol,Simple Query,Multi-statement abort semantics,implemented,
Wire Protocol,Extended Query,Parse (P + statement name + query + param type OIDs),implemented,
Wire Protocol,Extended Query,ParseComplete (1),implemented,
Wire Protocol,Extended Query,Bind (B + portal + statement + params + format codes),implemented,
Wire Protocol,Extended Query,BindComplete (2),implemented,
Wire Protocol,Extended Query,Execute (E + portal + max rows),implemented,
Wire Protocol,Extended Query,PortalSuspended (s),implemented,
Wire Protocol,Extended Query,Describe (D + S/P + name),implemented,
Wire Protocol,Extended Query,ParameterDescription (t + param OIDs),implemented,
Wire Protocol,Extended Query,NoData (n),implemented,
Wire Protocol,Extended Query,Close (C + S/P + name) + CloseComplete (3),implemented,
Wire Protocol,Extended Query,Sync (S) + ReadyForQuery,implemented,
Wire Protocol,Extended Query,Flush (H),implemented,
Wire Protocol,Extended Query,Pipelining (send messages without waiting),implemented,
Wire Protocol,Data Row Format,DataRow (D + column count + col-length + col-value)*,implemented,
Wire Protocol,Data Row Format,Null indicator (column length = -1),implemented,
Wire Protocol,Data Row Format,RowDescription fields: name/tableOID/attr#/typeOID/typlen/typmod/format,implemented,
Wire Protocol,Data Row Format,Format codes: 0=text / 1=binary,,Output always text (format=0); binary result format not emitted
Wire Protocol,Command Tags,INSERT oid rows / DELETE rows / UPDATE rows / SELECT rows / MERGE rows / FETCH rows / MOVE rows / COPY rows,implemented,
Wire Protocol,Error/Notice,ErrorResponse (E) / NoticeResponse (N) with field list,implemented,
Wire Protocol,Error/Notice,Error fields: S(everity) V C(ode) M(message) D(etail) H(int) P(osition) p q W s t c d n F L R,implemented,
Wire Protocol,Error/Notice,SQLSTATE error codes (Appendix A),implemented,
Wire Protocol,Async Messages,NotificationResponse (A + PID + channel + payload),implemented,
Wire Protocol,Async Messages,ParameterStatus (S + name + value),implemented,
Wire Protocol,Async Messages,BackendKeyData (K + PID + secret key),implemented,
Wire Protocol,Function Call,FunctionCall (F + OID + args + format) + FunctionCallResponse (V),,
Wire Protocol,COPY,CopyInResponse (G) / CopyOutResponse (H) / CopyBothResponse (W),implemented,
Wire Protocol,COPY,CopyData (d) / CopyDone (c) / CopyFail (f),implemented,
Wire Protocol,COPY,Binary COPY format (header + column-codes),implemented,
Wire Protocol,Cancel Request,CancelRequest (Int32 80877102 + PID + secret),implemented,
Wire Protocol,Cancel Request,Separate connection / no direct reply,implemented,
