B011	Embedded Ada			NO	\N	
B012	Embedded C			YES	\N	
B013	Embedded COBOL			NO	\N	
B014	Embedded Fortran			NO	\N	
B015	Embedded MUMPS			NO	\N	
B016	Embedded Pascal			NO	\N	
B017	Embedded PL/I			NO	\N	
B021	Direct SQL			YES	\N	
B030	Enhanced dynamic SQL			NO	\N	
B031	Basic dynamic SQL			NO	\N	
B032	Extended dynamic SQL			NO	\N	
B033	Untyped SQL-invoked function arguments			NO	\N	
B034	Dynamic specification of cursor attributes			NO	\N	
B035	Non-extended descriptor names			NO	\N	
B036	Describe input statement			NO	\N	
B041	Extensions to embedded SQL exception declarations			NO	\N	
B051	Enhanced execution rights			NO	\N	
B111	Module language Ada			NO	\N	
B112	Module language C			NO	\N	
B113	Module language COBOL			NO	\N	
B114	Module language Fortran			NO	\N	
B115	Module language MUMPS			NO	\N	
B116	Module language Pascal			NO	\N	
B117	Module language PL/I			NO	\N	
B121	Routine language Ada			NO	\N	
B122	Routine language C			NO	\N	
B123	Routine language COBOL			NO	\N	
B124	Routine language Fortran			NO	\N	
B125	Routine language MUMPS			NO	\N	
B126	Routine language Pascal			NO	\N	
B127	Routine language PL/I			NO	\N	
B128	Routine language SQL			YES	\N	
B200	Polymorphic table functions			NO	\N	
B201	More than one PTF generic table parameter			NO	\N	
B202	PTF copartitioning			NO	\N	
B203	More than one copartition specification			NO	\N	
B204	PRUNE WHEN EMPTY			NO	\N	
B205	Pass-through columns			NO	\N	
B206	PTF descriptor parameters			NO	\N	
B207	Cross products of partitionings			NO	\N	
B208	PTF component procedure interface			NO	\N	
B209	PTF extended names			NO	\N	
B211	Module language Ada: VARCHAR and NUMERIC support			NO	\N	
B221	Routine language Ada: VARCHAR and NUMERIC support			NO	\N	
E011	Numeric data types			YES	\N	
E011	Numeric data types	01	INTEGER and SMALLINT data types	YES	\N	
E011	Numeric data types	02	REAL, DOUBLE PRECISION, and FLOAT data types	YES	\N	
E011	Numeric data types	03	DECIMAL and NUMERIC data types	YES	\N	
E011	Numeric data types	04	Arithmetic operators	YES	\N	
E011	Numeric data types	05	Numeric comparison	YES	\N	
E011	Numeric data types	06	Implicit casting among the numeric data types	YES	\N	
E021	Character data types			YES	\N	
E021	Character string types	01	CHARACTER data type	YES	\N	
E021	Character string types	02	CHARACTER VARYING data type	YES	\N	
E021	Character string types	03	Character literals	YES	\N	
E021	Character string types	04	CHARACTER_LENGTH function	YES	\N	trims trailing spaces from CHARACTER values before counting
E021	Character string types	05	OCTET_LENGTH function	YES	\N	
E021	Character string types	06	SUBSTRING function	YES	\N	
E021	Character string types	07	Character concatenation	YES	\N	
E021	Character string types	08	UPPER and LOWER functions	YES	\N	
E021	Character string types	09	TRIM function	YES	\N	
E021	Character string types	10	Implicit casting among the character string types	YES	\N	
E021	Character string types	11	POSITION function	YES	\N	
E021	Character string types	12	Character comparison	YES	\N	
E031	Identifiers			YES	\N	
E031	Identifiers	01	Delimited identifiers	YES	\N	
E031	Identifiers	02	Lower case identifiers	YES	\N	
E031	Identifiers	03	Trailing underscore	YES	\N	
E051	Basic query specification			YES	\N	
E051	Basic query specification	01	SELECT DISTINCT	YES	\N	
E051	Basic query specification	02	GROUP BY clause	YES	\N	
E051	Basic query specification	04	GROUP BY can contain columns not in <select list>	YES	\N	
E051	Basic query specification	05	Select list items can be renamed	YES	\N	
E051	Basic query specification	06	HAVING clause	YES	\N	
E051	Basic query specification	07	Qualified * in select list	YES	\N	
E051	Basic query specification	08	Correlation names in the FROM clause	YES	\N	
E051	Basic query specification	09	Rename columns in the FROM clause	YES	\N	
E061	Basic predicates and search conditions			YES	\N	
E061	Basic predicates and search conditions	01	Comparison predicate	YES	\N	
E061	Basic predicates and search conditions	02	BETWEEN predicate	YES	\N	
E061	Basic predicates and search conditions	03	IN predicate with list of values	YES	\N	
E061	Basic predicates and search conditions	04	LIKE predicate	YES	\N	
E061	Basic predicates and search conditions	05	LIKE predicate ESCAPE clause	YES	\N	
E061	Basic predicates and search conditions	06	NULL predicate	YES	\N	
E061	Basic predicates and search conditions	07	Quantified comparison predicate	YES	\N	
E061	Basic predicates and search conditions	08	EXISTS predicate	YES	\N	
E061	Basic predicates and search conditions	09	Subqueries in comparison predicate	YES	\N	
E061	Basic predicates and search conditions	11	Subqueries in IN predicate	YES	\N	
E061	Basic predicates and search conditions	12	Subqueries in quantified comparison predicate	YES	\N	
E061	Basic predicates and search conditions	13	Correlated subqueries	YES	\N	
E061	Basic predicates and search conditions	14	Search condition	YES	\N	
E071	Basic query expressions			YES	\N	
E071	Basic query expressions	01	UNION DISTINCT table operator	YES	\N	
E071	Basic query expressions	02	UNION ALL table operator	YES	\N	
E071	Basic query expressions	03	EXCEPT DISTINCT table operator	YES	\N	
E071	Basic query expressions	05	Columns combined via table operators need not have exactly the same data type	YES	\N	
E071	Basic query expressions	06	Table operators in subqueries	YES	\N	
E081	Basic Privileges			YES	\N	
E081	Basic Privileges	01	SELECT privilege	YES	\N	
E081	Basic Privileges	02	DELETE privilege	YES	\N	
E081	Basic Privileges	03	INSERT privilege at the table level	YES	\N	
E081	Basic Privileges	04	UPDATE privilege at the table level	YES	\N	
E081	Basic Privileges	05	UPDATE privilege at the column level	YES	\N	
E081	Basic Privileges	06	REFERENCES privilege at the table level	YES	\N	
E081	Basic Privileges	07	REFERENCES privilege at the column level	YES	\N	
E081	Basic Privileges	08	WITH GRANT OPTION	YES	\N	
E081	Basic Privileges	09	USAGE privilege	YES	\N	
E081	Basic Privileges	10	EXECUTE privilege	YES	\N	
E091	Set functions			YES	\N	
E091	Set functions	01	AVG	YES	\N	
E091	Set functions	02	COUNT	YES	\N	
E091	Set functions	03	MAX	YES	\N	
E091	Set functions	04	MIN	YES	\N	
E091	Set functions	05	SUM	YES	\N	
E091	Set functions	06	ALL quantifier	YES	\N	
E091	Set functions	07	DISTINCT quantifier	YES	\N	
E101	Basic data manipulation			YES	\N	
E101	Basic data manipulation	01	INSERT statement	YES	\N	
E101	Basic data manipulation	03	Searched UPDATE statement	YES	\N	
E101	Basic data manipulation	04	Searched DELETE statement	YES	\N	
E111	Single row SELECT statement			YES	\N	
E121	Basic cursor support			YES	\N	
E121	Basic cursor support	01	DECLARE CURSOR	YES	\N	
E121	Basic cursor support	02	ORDER BY columns need not be in select list	YES	\N	
E121	Basic cursor support	03	Value expressions in ORDER BY clause	YES	\N	
E121	Basic cursor support	04	OPEN statement	YES	\N	
E121	Basic cursor support	06	Positioned UPDATE statement	YES	\N	
E121	Basic cursor support	07	Positioned DELETE statement	YES	\N	
E121	Basic cursor support	08	CLOSE statement	YES	\N	
E121	Basic cursor support	10	FETCH statement implicit NEXT	YES	\N	
E121	Basic cursor support	17	WITH HOLD cursors	YES	\N	
E131	Null value support (nulls in lieu of values)			YES	\N	
E141	Basic integrity constraints			YES	\N	
E141	Basic integrity constraints	01	NOT NULL constraints	YES	\N	
E141	Basic integrity constraints	02	UNIQUE constraints of NOT NULL columns	YES	\N	
E141	Basic integrity constraints	03	PRIMARY KEY constraints	YES	\N	
E141	Basic integrity constraints	04	Basic FOREIGN KEY constraint with the NO ACTION default for both referential delete action and referential update action	YES	\N	
E141	Basic integrity constraints	06	CHECK constraints	YES	\N	
E141	Basic integrity constraints	07	Column defaults	YES	\N	
E141	Basic integrity constraints	08	NOT NULL inferred on PRIMARY KEY	YES	\N	
E141	Basic integrity constraints	10	Names in a foreign key can be specified in any order	YES	\N	
E151	Transaction support			YES	\N	
E151	Transaction support	01	COMMIT statement	YES	\N	
E151	Transaction support	02	ROLLBACK statement	YES	\N	
E152	Basic SET TRANSACTION statement			YES	\N	
E152	Basic SET TRANSACTION statement	01	SET TRANSACTION statement: ISOLATION LEVEL SERIALIZABLE clause	YES	\N	
E152	Basic SET TRANSACTION statement	02	SET TRANSACTION statement: READ ONLY and READ WRITE clauses	YES	\N	
E153	Updatable queries with subqueries			YES	\N	
E161	SQL comments using leading double minus			YES	\N	
E171	SQLSTATE support			YES	\N	
E182	Host language binding			YES	\N	
F021	Basic information schema			YES	\N	
F021	Basic information schema	01	COLUMNS view	YES	\N	
F021	Basic information schema	02	TABLES view	YES	\N	
F021	Basic information schema	03	VIEWS view	YES	\N	
F021	Basic information schema	04	TABLE_CONSTRAINTS view	YES	\N	
F021	Basic information schema	05	REFERENTIAL_CONSTRAINTS view	YES	\N	
F021	Basic information schema	06	CHECK_CONSTRAINTS view	YES	\N	
F031	Basic schema manipulation			YES	\N	
F031	Basic schema manipulation	01	CREATE TABLE statement to create persistent base tables	YES	\N	
F031	Basic schema manipulation	02	CREATE VIEW statement	YES	\N	
F031	Basic schema manipulation	03	GRANT statement	YES	\N	
F031	Basic schema manipulation	04	ALTER TABLE statement: ADD COLUMN clause	YES	\N	
F031	Basic schema manipulation	13	DROP TABLE statement: RESTRICT clause	YES	\N	
F031	Basic schema manipulation	16	DROP VIEW statement: RESTRICT clause	YES	\N	
F031	Basic schema manipulation	19	REVOKE statement: RESTRICT clause	YES	\N	
F032	CASCADE drop behavior			YES	\N	
F033	ALTER TABLE statement: DROP COLUMN clause			YES	\N	
F034	Extended REVOKE statement			YES	\N	
F035	REVOKE with CASCADE			YES	\N	
F036	REVOKE statement performed by non-owner			YES	\N	
F037	REVOKE statement: GRANT OPTION FOR clause			YES	\N	
F038	REVOKE of a WITH GRANT OPTION privilege			YES	\N	
F041	Basic joined table			YES	\N	
F041	Basic joined table	01	Inner join (but not necessarily the INNER keyword)	YES	\N	
F041	Basic joined table	02	INNER keyword	YES	\N	
F041	Basic joined table	03	LEFT OUTER JOIN	YES	\N	
F041	Basic joined table	04	RIGHT OUTER JOIN	YES	\N	
F041	Basic joined table	05	Outer joins can be nested	YES	\N	
F041	Basic joined table	07	The inner table in a left or right outer join can also be used in an inner join	YES	\N	
F041	Basic joined table	08	All comparison operators are supported (rather than just =)	YES	\N	
F051	Basic date and time			YES	\N	
F051	Basic date and time	01	DATE data type (including support of DATE literal)	YES	\N	
F051	Basic date and time	02	TIME data type (including support of TIME literal) with fractional seconds precision of at least 0	YES	\N	
F051	Basic date and time	03	TIMESTAMP data type (including support of TIMESTAMP literal) with fractional seconds precision of at least 0 and 6	YES	\N	
F051	Basic date and time	04	Comparison predicate on DATE, TIME, and TIMESTAMP data types	YES	\N	
F051	Basic date and time	05	Explicit CAST between datetime types and character string types	YES	\N	
F051	Basic date and time	06	CURRENT_DATE	YES	\N	
F051	Basic date and time	07	LOCALTIME	YES	\N	
F051	Basic date and time	08	LOCALTIMESTAMP	YES	\N	
F052	Intervals and datetime arithmetic			YES	\N	
F053	OVERLAPS predicate			YES	\N	
F054	TIMESTAMP in DATE type precedence list			NO	\N	
F081	UNION and EXCEPT in views			YES	\N	
F111	Isolation levels other than SERIALIZABLE			YES	\N	
F112	Isolation level READ UNCOMMITTED			YES	\N	
F113	Isolation level READ COMMITTED			YES	\N	
F114	Isolation level REPEATABLE READ			YES	\N	
F120	Get diagnostics statement			NO	\N	
F121	Basic diagnostics management			NO	\N	
F122	Enhanced diagnostics management			NO	\N	
F123	All diagnostics			NO	\N	
F124	SET TRANSACTION statement: DIAGNOSTICS SIZE clause			NO	\N	
F131	Grouped operations			YES	\N	
F131	Grouped operations	01	WHERE, GROUP BY, and HAVING clauses supported in queries with grouped views	YES	\N	
F131	Grouped operations	02	Multiple tables supported in queries with grouped views	YES	\N	
F131	Grouped operations	03	Set functions supported in queries with grouped views	YES	\N	
F131	Grouped operations	04	Subqueries with GROUP BY and HAVING clauses and grouped views	YES	\N	
F131	Grouped operations	05	Single row SELECT with GROUP BY and HAVING clauses and grouped views	YES	\N	
F171	Multiple schemas per user			YES	\N	
F181	Multiple module support			YES	\N	
F191	Referential delete actions			YES	\N	
F200	TRUNCATE TABLE statement			YES	\N	
F201	CAST function			YES	\N	
F202	TRUNCATE TABLE: identity column restart option			YES	\N	
F221	Explicit defaults			YES	\N	
F222	INSERT statement: DEFAULT VALUES clause			YES	\N	
F231	Privilege tables			YES	\N	
F251	Domain support			YES	\N	
F261	CASE expression			YES	\N	
F261	CASE expression	01	Simple CASE	YES	\N	
F261	CASE expression	02	Searched CASE	YES	\N	
F261	CASE expression	03	NULLIF	YES	\N	
F261	CASE expression	04	COALESCE	YES	\N	
F262	Extended CASE expression			YES	\N	
F263	Comma-separated predicates in simple CASE expression			NO	\N	
F271	Compound character literals			YES	\N	
F281	LIKE enhancements			YES	\N	
F291	UNIQUE predicate			NO	\N	
F292	UNIQUE null treatment			YES	\N	
F301	CORRESPONDING in query expressions			NO	\N	
F302	INTERSECT table operator			YES	\N	
F303	INTERSECT DISTINCT table operator			YES	\N	
F304	EXCEPT ALL table operator			YES	\N	
F305	INTERSECT ALL table operator			YES	\N	
F311	Schema definition statement			YES	\N	
F311	Schema definition statement	01	CREATE SCHEMA	YES	\N	
F311	Schema definition statement	02	CREATE TABLE for persistent base tables	YES	\N	
F311	Schema definition statement	03	CREATE VIEW	YES	\N	
