# Parity goldens — the cutover's oracle; see goldens_test.go.
# Regenerate: GOOPG_UPDATE_GOLDENS=1 go test ./internal/sqlparser/
# 742 statements
ABORT	RollbackStmt{}
ALTER DOMAIN d ADD CHECK (VALUE IN (1,2))	AlterDomainStmt{Name="d",Action="addconstraint",NewName="",NewOwner="",ConstraintName="",NewConstraintName="",CheckExpr="",CheckInValues=["1","2"],IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d ADD CONSTRAINT c CHECK (VALUE > 0)	AlterDomainStmt{Name="d",Action="addconstraint",NewName="",NewOwner="",ConstraintName="c",NewConstraintName="",CheckExpr="VALUE > 0",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d DROP CONSTRAINT IF EXISTS c	AlterDomainStmt{Name="d",Action="dropconstraint",NewName="",NewOwner="",ConstraintName="c",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=true,DefaultExpr=∅}
ALTER DOMAIN d DROP CONSTRAINT c	AlterDomainStmt{Name="d",Action="dropconstraint",NewName="",NewOwner="",ConstraintName="c",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d DROP DEFAULT	AlterDomainStmt{Name="d",Action="dropdefault",NewName="",NewOwner="",ConstraintName="",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d DROP NOT NULL	AlterDomainStmt{Name="d",Action="dropnotnull",NewName="",NewOwner="",ConstraintName="",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d OWNER TO r	AlterDomainStmt{Name="d",Action="owner",NewName="",NewOwner="r",ConstraintName="",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d RENAME CONSTRAINT c TO d2	AlterDomainStmt{Name="d",Action="renameconstraint",NewName="",NewOwner="",ConstraintName="c",NewConstraintName="d2",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d RENAME TO e	AlterDomainStmt{Name="d",Action="rename",NewName="e",NewOwner="",ConstraintName="",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
ALTER DOMAIN d SET DEFAULT 1	AlterDomainStmt{Name="d",Action="setdefault",NewName="",NewOwner="",ConstraintName="",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=IntegerConst{Value=1}}
ALTER DOMAIN d SET NOT NULL	AlterDomainStmt{Name="d",Action="setnotnull",NewName="",NewOwner="",ConstraintName="",NewConstraintName="",CheckExpr="",CheckInValues=∅,IfExists=false,DefaultExpr=∅}
