date,directory,loc
2026-05-04,TOTAL,77311
2026-05-04,bench/tpch,693
2026-05-04,cmd/gen-sqlstate,171
2026-05-04,cmd/gen-tap-coverage,142
2026-05-04,cmd/goopg,1034
2026-05-04,cmd/validate-ralph-state,439
2026-05-04,internal/access,1696
2026-05-04,internal/activity,324
2026-05-04,internal/aio,1661
2026-05-04,internal/analyzer,1645
2026-05-04,internal/auth,1624
2026-05-04,internal/autovacuum,142
2026-05-04,internal/catalog,2563
2026-05-04,internal/config,1303
2026-05-04,internal/control,368
2026-05-04,internal/executor,15633
2026-05-04,internal/initdb,4687
2026-05-04,internal/lockmgr,912
2026-05-04,internal/mvcc,812
2026-05-04,internal/parser,7017
2026-05-04,internal/planner,8754
2026-05-04,internal/plpgsql,939
2026-05-04,internal/protocol,858
2026-05-04,internal/server,7025
2026-05-04,internal/sqlstate,552
2026-05-04,internal/storage,2734
2026-05-04,internal/testport,1470
2026-05-04,internal/testutil,1836
2026-05-04,internal/vacuum,316
2026-05-04,internal/wal,9961
2026-05-11,TOTAL,107654
2026-05-11,bench/tpch,693
2026-05-11,cmd/gen-isolation-coverage,53
2026-05-11,cmd/gen-oracle-inventory,66
2026-05-11,cmd/gen-oracle-port-status,44
2026-05-11,cmd/gen-oracle-report,130
2026-05-11,cmd/gen-regress-coverage,56
2026-05-11,cmd/gen-sqlstate,171
2026-05-11,cmd/gen-tap-coverage,151
2026-05-11,cmd/goopg,1081
2026-05-11,cmd/plan-snapshot,486
2026-05-11,cmd/tpch-runner,251
2026-05-11,cmd/validate-ralph-state,439
2026-05-11,internal/access,4440
2026-05-11,internal/activity,374
2026-05-11,internal/aio,1661
2026-05-11,internal/analyzer,1935
2026-05-11,internal/auth,1670
2026-05-11,internal/autovacuum,170
2026-05-11,internal/catalog,2833
2026-05-11,internal/config,1387
2026-05-11,internal/control,368
2026-05-11,internal/executor,22977
2026-05-11,internal/initdb,5261
2026-05-11,internal/lockmgr,912
2026-05-11,internal/mvcc,1800
2026-05-11,internal/parser,7682
2026-05-11,internal/planner,15757
2026-05-11,internal/plpgsql,939
2026-05-11,internal/protocol,940
2026-05-11,internal/server,7683
2026-05-11,internal/sqlstate,552
2026-05-11,internal/storage,5057
2026-05-11,internal/testport,4213
2026-05-11,internal/testutil,2492
2026-05-11,internal/vacuum,388
2026-05-11,internal/wal,12542
2026-05-18,TOTAL,159221
2026-05-18,bench/tpch,693
2026-05-18,cmd/diag,56
2026-05-18,cmd/gen-isolation-coverage,124
2026-05-18,cmd/gen-oracle-inventory,66
2026-05-18,cmd/gen-oracle-port-status,44
2026-05-18,cmd/gen-oracle-report,130
2026-05-18,cmd/gen-regress-coverage,248
2026-05-18,cmd/gen-sqlstate,171
2026-05-18,cmd/gen-tap-coverage,217
2026-05-18,cmd/goopg,1381
2026-05-18,cmd/plan-snapshot,486
2026-05-18,cmd/tpch-runner,251
2026-05-18,cmd/validate-ralph-state,439
2026-05-18,internal/access,4457
2026-05-18,internal/activity,374
2026-05-18,internal/aio,1661
2026-05-18,internal/analyzer,2189
2026-05-18,internal/auth,1670
2026-05-18,internal/autovacuum,170
2026-05-18,internal/catalog,4084
2026-05-18,internal/config,1474
2026-05-18,internal/control,368
2026-05-18,internal/executor,35007
2026-05-18,internal/initdb,19816
2026-05-18,internal/lockmgr,912
2026-05-18,internal/mvcc,3866
2026-05-18,internal/parser,11507
2026-05-18,internal/planner,17293
2026-05-18,internal/plpgsql,1364
2026-05-18,internal/protocol,940
